Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1200)",,,"Reconstruction Position - Unlabeled Track (1290)",,,"Reconstruction Position - Unlabeled Track (1306)",,,"Reconstruction Position - Unlabeled Track (1307)",,,"Reconstruction Position - Unlabeled Track (1308)",,,"Reconstruction Position - Unlabeled Track (1312)",,,"Reconstruction Position - Unlabeled Track (1313)",,,"Reconstruction Position - Unlabeled Track (1315)",,,"Reconstruction Position - Unlabeled Track (1316)",,,"Reconstruction Position - Unlabeled Track (1318)",,,"Reconstruction Position - Unlabeled Track (1320)",,,"Reconstruction Position - Unlabeled Track (1324)",,,"Reconstruction Position - Unlabeled Track (1325)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-905.259","-713.275","1007.49","-959.093","-771.915","127.639","-982.151","-722.597","1317.69","-1163.52","-614.395","1588.97","-1022.23","-576.003","862.426","-1173.49","-622.027","1203.39","-1406.54","-764.874","148.856","-1373.26","-614.706","1014.2","-1435.16","-845.687","1023.13","-1385.53","-769.8","1327.62","-1017.03","-701.159","476.289","-1315.12","-708.17","476.639","nan","nan","nan","nan","nan","nan"
2,0,"-905.173","-713.43","1007.55","-959.096","-771.902","127.598","-982.099","-722.796","1317.77","-1163.43","-614.657","1588.97","-1022.12","-576.167","862.451","-1173.41","-622.153","1203.42","-1406.56","-764.896","148.844","-1373.06","-614.706","1014.18","-1435.19","-845.625","1023.07","-1385.54","-769.867","1327.61","-1016.99","-701.201","476.32","-1315.1","-708.151","476.674","nan","nan","nan","nan","nan","nan"
3,0,"-905.083","-713.66","1007.68","-959.072","-771.919","127.594","-982.055","-722.973","1317.9","-1163.36","-614.92","1589.02","-1022.01","-576.328","862.5","-1173.34","-622.281","1203.44","-1406.58","-764.932","148.862","-1372.84","-614.692","1014.16","-1435.21","-845.532","1023.02","-1385.55","-769.943","1327.58","-1016.94","-701.253","476.368","-1315.1","-708.193","476.671","nan","nan","nan","nan","nan","nan"
4,0,"-905.006","-713.823","1007.7","-959.1","-771.879","127.637","-982.016","-723.18","1317.97","-1163.31","-615.23","1589.06","-1021.93","-576.447","862.599","-1173.25","-622.413","1203.49","-1406.58","-764.947","148.861","-1372.78","-614.691","1014.39","-1435.22","-845.492","1022.93","-1385.56","-770.012","1327.55","-1016.91","-701.312","476.398","-1315.09","-708.202","476.688","nan","nan","nan","nan","nan","nan"
5,0,"-904.945","-714.019","1007.79","-959.129","-771.849","127.637","-982","-723.404","1318.01","-1163.26","-615.497","1589.1","-1021.86","-576.551","862.608","-1173.17","-622.551","1203.5","-1406.57","-764.962","148.876","-1372.6","-614.653","1014.42","-1435.24","-845.412","1022.88","-1385.58","-770.066","1327.53","-1016.87","-701.363","476.419","-1315.09","-708.261","476.653","nan","nan","nan","nan","nan","nan"
6,0,"-904.893","-714.134","1007.77","-959.076","-771.889","127.648","-982.048","-723.711","1317.99","-1163.27","-615.786","1589.14","-1021.77","-576.652","862.691","-1173.08","-622.672","1203.48","-1406.55","-764.97","148.875","-1372.45","-614.616","1014.47","-1435.27","-845.344","1022.83","-1385.59","-770.118","1327.51","-1016.85","-701.408","476.436","-1315.09","-708.247","476.681","nan","nan","nan","nan","nan","nan"
7,0,"-904.854","-714.325","1007.8","-959.061","-771.907","127.639","-982.083","-723.977","1317.98","-1163.29","-616.058","1589.23","-1021.69","-576.775","862.737","-1172.99","-622.797","1203.51","-1406.54","-764.959","148.871","-1372.37","-614.591","1014.63","-1435.32","-845.29","1022.77","-1385.63","-770.155","1327.52","-1016.82","-701.454","476.466","-1315.07","-708.276","476.651","nan","nan","nan","nan","nan","nan"
8,0,"-904.806","-714.52","1007.85","-959.092","-771.897","127.624","-982.061","-724.212","1318","-1163.27","-616.299","1589.27","-1021.61","-576.908","862.79","-1172.91","-622.933","1203.56","-1406.53","-764.959","148.867","-1372.24","-614.557","1014.68","-1435.37","-845.22","1022.73","-1385.66","-770.201","1327.53","-1016.81","-701.504","476.478","-1315.05","-708.297","476.642","nan","nan","nan","nan","nan","nan"
9,0,"-904.799","-714.752","1007.89","-959.082","-771.901","127.609","-982.047","-724.513","1318.01","-1163.26","-616.574","1589.33","-1021.53","-577.055","862.821","-1172.82","-623.051","1203.59","-1406.52","-764.954","148.847","-1372.12","-614.528","1014.73","-1435.42","-845.129","1022.69","-1385.67","-770.238","1327.51","-1016.78","-701.549","476.507","-1315.04","-708.309","476.632","nan","nan","nan","nan","nan","nan"
10,0,"-904.768","-714.976","1007.92","-958.956","-772.04","127.533","-982.073","-724.795","1318.06","-1163.24","-616.841","1589.38","-1021.45","-577.211","862.923","-1172.74","-623.147","1203.67","-1406.52","-764.956","148.854","-1372.01","-614.487","1014.78","-1435.5","-845.024","1022.67","-1385.67","-770.272","1327.48","-1016.75","-701.629","476.522","-1315.01","-708.301","476.611","nan","nan","nan","nan","nan","nan"
11,0,"-904.739","-715.202","1007.97","-958.977","-772.05","127.541","-982.018","-725.09","1318.2","-1163.22","-617.097","1589.44","-1021.36","-577.335","862.984","-1172.66","-623.258","1203.73","-1406.52","-764.971","148.837","-1372.04","-614.483","1015.05","-1435.57","-844.943","1022.65","-1385.69","-770.301","1327.46","-1016.73","-701.705","476.539","-1315","-708.313","476.636","nan","nan","nan","nan","nan","nan"
