Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1464)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1472)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1498)",,,"Reconstruction Position - Unlabeled Track (1502)",,,"Reconstruction Position - Unlabeled Track (1503)",,,"Reconstruction Position - Unlabeled Track (1506)",,,"Reconstruction Position - Unlabeled Track (1509)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-943.344","-685.334","1011.36","-1221.42","-577.522","1593.58","-1050.47","-665.509","484.061","-1001.31","-734.938","127.92","-1197.02","-570.2","1205.11","-1378.18","-567.392","960.959","-1424.32","-698.453","1329.28","-1056.67","-549.258","867.768","-1451.01","-701.555","148.177","-1018.1","-694.101","1322.85","-1359.54","-644.755","475.028","-1478.15","-775.913","1024.44","nan","nan","nan","nan","nan","nan"
2,0,"-943.332","-685.355","1011.37","-1221.5","-577.589","1593.59","-1050.48","-665.547","484.068","-1001.26","-734.981","127.897","-1197.04","-570.282","1205.1","-1378.18","-567.551","960.924","-1424.35","-698.593","1329.28","-1056.71","-549.371","867.769","-1451.01","-701.567","148.183","-1018.1","-694.181","1322.92","-1359.54","-644.776","475.049","-1478.3","-776.345","1024.44","nan","nan","nan","nan","nan","nan"
3,0,"-943.329","-685.428","1011.42","-1221.57","-577.655","1593.61","-1050.52","-665.592","484.077","-1000.97","-735.177","127.88","-1197.08","-570.362","1205.1","-1378.2","-567.742","960.891","-1424.37","-698.748","1329.25","-1056.7","-549.474","867.78","-1451.02","-701.596","148.178","-1018.13","-694.261","1322.94","-1359.54","-644.843","475.055","-1478.25","-776.52","1024.38","nan","nan","nan","nan","nan","nan"
4,0,"-943.342","-685.491","1011.45","-1221.66","-577.74","1593.64","-1050.52","-665.65","484.048","-1001.18","-735.094","127.861","-1197.12","-570.445","1205.1","-1378.24","-567.907","960.861","-1424.4","-698.893","1329.22","-1056.74","-549.534","867.804","-1451.01","-701.605","148.175","-1018.19","-694.372","1322.95","-1359.54","-644.876","475.047","-1478.21","-776.692","1024.34","nan","nan","nan","nan","nan","nan"
5,0,"-943.355","-685.555","1011.48","-1221.74","-577.806","1593.64","-1050.55","-665.691","484.064","-1001.36","-734.887","128.033","-1197.15","-570.505","1205.09","-1378.26","-568.038","960.82","-1424.42","-699.046","1329.19","-1056.76","-549.64","867.812","-1451.01","-701.628","148.168","-1018.25","-694.453","1322.93","-1359.54","-644.915","475.043","-1478.21","-776.85","1024.34","nan","nan","nan","nan","nan","nan"
6,0,"-943.383","-685.586","1011.47","-1221.8","-577.906","1593.59","-1050.58","-665.757","484.062","-1001.15","-735.133","127.889","-1197.19","-570.593","1205.09","-1378.3","-568.165","960.792","-1424.45","-699.185","1329.15","-1056.77","-549.635","867.843","-1451.02","-701.639","148.166","-1018.29","-694.52","1322.93","-1359.53","-644.95","475.041","-1478.18","-777.04","1024.3","nan","nan","nan","nan","nan","nan"
7,0,"-943.407","-685.639","1011.47","-1221.87","-577.977","1593.58","-1050.59","-665.807","484.059","-1001.35","-734.91","128.026","-1197.23","-570.673","1205.08","-1378.34","-568.279","960.762","-1424.47","-699.316","1329.09","-1056.81","-549.731","867.831","-1451.01","-701.649","148.159","-1018.33","-694.544","1322.91","-1359.54","-645.001","475.018","-1478.11","-777.099","1024.27","nan","nan","nan","nan","nan","nan"
8,0,"-943.41","-685.683","1011.48","-1221.94","-578.057","1593.57","-1050.62","-665.845","484.055","-1001.15","-735.127","127.843","-1197.27","-570.753","1205.07","-1378.38","-568.395","960.708","-1424.49","-699.434","1329.04","-1056.81","-549.741","867.827","-1451.01","-701.648","148.155","-1018.34","-694.565","1322.89","-1359.54","-645.029","475.008","-1478.12","-777.313","1024.22","nan","nan","nan","nan","nan","nan"
9,0,"-943.425","-685.735","1011.48","-1222.02","-578.14","1593.57","-1050.6","-665.866","484.062","-1001.13","-735.139","127.823","-1197.31","-570.826","1205.05","-1378.42","-568.49","960.676","-1424.53","-699.543","1329.03","-1056.85","-549.79","867.849","-1450.99","-701.655","148.151","-1018.39","-694.62","1322.87","-1359.53","-645.071","474.995","-1477.95","-777.242","1024.18","nan","nan","nan","nan","nan","nan"
10,0,"-943.443","-685.765","1011.47","-1222.1","-578.225","1593.58","-1050.6","-665.876","484.06","-1001.07","-735.202","127.794","-1197.35","-570.901","1205.04","-1378.47","-568.587","960.666","-1424.56","-699.645","1329.01","-1056.88","-549.839","867.846","-1450.99","-701.652","148.151","-1018.43","-694.673","1322.87","-1359.52","-645.085","474.994","-1478.05","-777.605","1024.14","nan","nan","nan","nan","nan","nan"
