Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1509)",,,"Reconstruction Position - Unlabeled Track (1514)",,,"Reconstruction Position - Unlabeled Track (1516)",,,"Reconstruction Position - Unlabeled Track (1538)",,,"Reconstruction Position - Unlabeled Track (1539)",,,"Reconstruction Position - Unlabeled Track (1542)",,,"Reconstruction Position - Unlabeled Track (1548)",,,"Reconstruction Position - Unlabeled Track (1549)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
13,0,"-950.54","-682.616","1012.27","-1158.73","-576.472","1589.04","-1063.89","-680.576","489.758","-1200.97","-582.549","1209.36","-1422.05","-720.83","1344.69","-1434.99","-762.567","147.65","-1474.76","-789.172","1036.08","-1017.93","-701.681","1324.85","-1053.22","-555.538","854.563","-1352.09","-692.332","473.154","-1033.61","-723.833","127.49","-1369.47","-573.793","993.001","nan","nan","nan","nan","nan","nan"
14,0,"-950.586","-682.804","1012.3","-1158.73","-576.766","1589.13","-1063.84","-680.63","489.771","-1200.97","-582.647","1209.39","-1422.08","-720.926","1344.68","-1434.99","-762.584","147.665","-1474.79","-789.228","1036.02","-1017.92","-701.83","1324.85","-1053.24","-555.65","854.578","-1352.09","-692.377","473.162","-1033.64","-723.826","127.47","-1369.43","-573.846","993.082","nan","nan","nan","nan","nan","nan"
15,0,"-950.559","-682.912","1012.31","-1158.75","-577.04","1589.26","-1063.78","-680.67","489.801","-1200.96","-582.735","1209.43","-1422.11","-721.025","1344.67","-1434.99","-762.596","147.682","-1474.86","-789.362","1035.98","-1017.92","-701.942","1324.91","-1053.22","-555.761","854.656","-1352.1","-692.379","473.216","-1033.59","-723.823","127.527","-1369.43","-573.905","993.152","nan","nan","nan","nan","nan","nan"
16,0,"-950.578","-683.031","1012.32","-1158.76","-577.303","1589.38","-1063.73","-680.671","489.884","-1200.94","-582.828","1209.45","-1422.14","-721.087","1344.68","-1434.98","-762.578","147.661","-1474.92","-789.463","1035.94","-1017.92","-702.055","1324.95","-1053.24","-555.888","854.693","-1352.1","-692.409","473.264","-1033.59","-723.823","127.535","-1369.4","-573.967","993.194","nan","nan","nan","nan","nan","nan"
17,0,"-950.598","-683.13","1012.33","-1158.75","-577.546","1589.51","-1063.67","-680.729","489.93","-1200.93","-582.909","1209.48","-1422.15","-721.176","1344.65","-1434.98","-762.596","147.663","-1474.98","-789.595","1035.89","-1017.94","-702.134","1324.99","-1053.28","-556.003","854.729","-1352.07","-692.4","473.312","-1033.61","-723.801","127.557","-1369.39","-574.046","993.242","nan","nan","nan","nan","nan","nan"
18,0,"-950.606","-683.205","1012.36","-1158.76","-577.807","1589.59","-1063.62","-680.745","489.975","-1200.91","-582.993","1209.49","-1422.17","-721.248","1344.64","-1435","-762.603","147.68","-1475.03","-789.707","1035.86","-1017.92","-702.204","1325.05","-1053.33","-556.109","854.723","-1352.07","-692.429","473.346","-1033.58","-723.823","127.571","-1369.35","-574.129","993.263","nan","nan","nan","nan","nan","nan"
19,0,"-950.635","-683.256","1012.38","-1158.76","-578.012","1589.67","-1063.59","-680.785","489.99","-1200.9","-583.066","1209.53","-1422.19","-721.342","1344.63","-1435","-762.605","147.689","-1475.05","-789.788","1035.82","-1017.92","-702.281","1325.12","-1053.38","-556.218","854.735","-1352.04","-692.474","473.369","-1033.58","-723.807","127.578","-1369.32","-574.183","993.29","nan","nan","nan","nan","nan","nan"
20,0,"-950.642","-683.33","1012.45","-1158.79","-578.196","1589.78","-1063.55","-680.815","490.009","-1200.91","-583.142","1209.65","-1422.2","-721.439","1344.66","-1434.99","-762.61","147.714","-1475.09","-789.886","1035.8","-1017.92","-702.333","1325.19","-1053.42","-556.317","854.764","-1352.02","-692.545","473.387","-1033.56","-723.832","127.583","-1369.3","-574.236","993.31","nan","nan","nan","nan","nan","nan"
21,0,"-950.67","-683.358","1012.48","-1158.8","-578.369","1589.83","-1063.54","-680.852","490.005","-1200.91","-583.194","1209.72","-1422.22","-721.537","1344.71","-1434.98","-762.588","147.711","-1475.11","-790.007","1035.78","-1017.89","-702.376","1325.27","-1053.48","-556.404","854.766","-1352","-692.587","473.423","-1033.57","-723.807","127.559","-1369.25","-574.278","993.329","nan","nan","nan","nan","nan","nan"
22,0,"-950.672","-683.347","1012.48","-1158.82","-578.528","1589.85","-1063.5","-680.912","489.999","-1200.93","-583.231","1209.8","-1422.2","-721.692","1344.7","-1434.94","-762.576","147.678","-1475.11","-790.048","1035.79","-1017.88","-702.412","1325.34","-1053.53","-556.524","854.743","-1352","-692.613","473.479","-1033.57","-723.805","127.568","-1369.2","-574.329","993.348","nan","nan","nan","nan","nan","nan"
23,0,"-950.662","-683.346","1012.52","-1158.82","-578.66","1589.86","-1063.46","-680.941","489.984","-1200.93","-583.277","1209.88","-1422.17","-721.824","1344.72","-1434.95","-762.584","147.7","-1475.12","-790.127","1035.78","-1017.84","-702.427","1325.41","-1053.59","-556.602","854.745","-1351.99","-692.706","473.488","-1033.55","-723.793","127.587","-1369.15","-574.428","993.385","nan","nan","nan","nan","nan","nan"
24,0,"-950.673","-683.358","1012.55","-1158.84","-578.781","1589.89","-1063.44","-680.974","490.008","-1200.94","-583.332","1209.96","-1422.13","-721.974","1344.72","-1434.95","-762.601","147.725","-1475.02","-789.974","1035.83","-1017.84","-702.457","1325.48","-1053.66","-556.701","854.742","-1351.98","-692.773","473.501","-1033.54","-723.799","127.6","-1369.12","-574.497","993.403","nan","nan","nan","nan","nan","nan"
25,0,"-950.656","-683.343","1012.59","-1158.85","-578.868","1589.9","-1063.41","-681.007","490.025","-1200.95","-583.376","1210.02","-1422.1","-722.106","1344.74","-1434.96","-762.623","147.743","-1475.13","-790.263","1035.78","-1017.84","-702.465","1325.51","-1053.72","-556.771","854.747","-1351.99","-692.838","473.55","-1033.5","-723.82","127.619","-1369.09","-574.574","993.428","nan","nan","nan","nan","nan","nan"
26,0,"-950.638","-683.315","1012.62","-1158.84","-578.959","1589.87","-1063.38","-681.042","490.055","-1200.96","-583.42","1210.08","-1422.08","-722.221","1344.77","-1434.97","-762.655","147.765","-1475.06","-790.152","1035.82","-1017.82","-702.482","1325.56","-1053.77","-556.821","854.76","-1351.98","-692.9","473.586","-1033.48","-723.833","127.627","-1369.06","-574.646","993.443","nan","nan","nan","nan","nan","nan"
27,0,"-950.58","-683.231","1012.61","-1158.85","-579.035","1589.85","-1063.35","-681.064","490.082","-1200.99","-583.46","1210.12","-1422.07","-722.333","1344.8","-1434.97","-762.681","147.772","-1475.14","-790.423","1035.75","-1017.8","-702.497","1325.59","-1053.82","-556.848","854.758","-1351.99","-692.951","473.626","-1033.47","-723.833","127.64","-1369.05","-574.704","993.451","nan","nan","nan","nan","nan","nan"
28,0,"-950.555","-683.171","1012.64","-1158.85","-579.103","1589.83","-1063.34","-681.064","490.09","-1201.01","-583.497","1210.14","-1422.07","-722.452","1344.84","-1434.99","-762.689","147.772","-1475.1","-790.47","1035.71","-1017.8","-702.494","1325.61","-1053.85","-556.874","854.739","-1351.98","-693.061","473.606","-1033.48","-723.827","127.643","-1369.05","-574.762","993.458","nan","nan","nan","nan","nan","nan"
29,0,"-950.518","-683.091","1012.69","-1158.84","-579.172","1589.81","-1063.35","-681.047","490.074","-1201.05","-583.529","1210.16","-1422.05","-722.554","1344.86","-1434.99","-762.705","147.753","-1475.17","-790.594","1035.72","-1017.78","-702.465","1325.6","-1053.88","-556.796","854.747","-1351.98","-693.145","473.569","-1033.49","-723.827","127.642","-1369.06","-574.838","993.49","nan","nan","nan","nan","nan","nan"
30,0,"-950.467","-682.998","1012.76","-1158.85","-579.228","1589.8","-1063.34","-681.003","490.069","-1201.09","-583.561","1210.17","-1422.03","-722.699","1344.85","-1434.99","-762.715","147.75","-1474.98","-790.146","1035.92","-1017.77","-702.443","1325.59","-1053.92","-556.748","854.722","-1351.98","-693.255","473.547","-1033.5","-723.792","127.633","-1369.07","-574.883","993.514","nan","nan","nan","nan","nan","nan"
31,0,"-950.428","-682.871","1012.79","-1158.84","-579.266","1589.77","-1063.35","-680.953","490.051","-1201.13","-583.594","1210.18","-1422","-722.844","1344.84","-1435","-762.717","147.761","-1475.05","-790.384","1035.88","-1017.75","-702.436","1325.6","-1053.96","-556.744","854.696","-1351.99","-693.312","473.538","-1033.52","-723.775","127.607","-1369.1","-574.939","993.549","nan","nan","nan","nan","nan","nan"
32,0,"-950.346","-682.665","1012.79","-1158.83","-579.296","1589.73","-1063.39","-680.887","490.044","-1201.16","-583.635","1210.2","-1421.96","-722.974","1344.84","-1434.99","-762.734","147.768","-1474.91","-790.109","1035.96","-1017.73","-702.392","1325.57","-1054.02","-556.737","854.685","-1352.01","-693.365","473.55","-1033.53","-723.776","127.597","-1369.14","-574.995","993.6","nan","nan","nan","nan","nan","nan"
