Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (881)",,,"Reconstruction Position - Unlabeled Track (1018)",,,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1052)",,,"Reconstruction Position - Unlabeled Track (1193)",,,"Reconstruction Position - Unlabeled Track (1195)",,,"Reconstruction Position - Unlabeled Track (1199)",,,"Reconstruction Position - Unlabeled Track (1200)",,,"Reconstruction Position - Unlabeled Track (1245)",,,"Reconstruction Position - Unlabeled Track (1247)",,,"Reconstruction Position - Unlabeled Track (1248)",,,"Reconstruction Position - Unlabeled Track (1249)",,,"Reconstruction Position - Unlabeled Track (1254)",,,"Reconstruction Position - Unlabeled Track (1255)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-1223.08","-387.415","1571.32","-1476.46","-611.72","1020.16","-907.535","-557.019","1030.06","-1403.42","-561.938","1320.23","-1004.47","-519.507","1316.15","-1033.88","-493.493","464.123","-1487.58","-528.392","148.552","-949.612","-570.883","123.941","-1190.66","-406.43","1197.33","-1369.5","-481.641","467.672","-1040.95","-392.046","944.19","-1375.21","-397.948","1069.06","nan","nan","nan","nan","nan","nan"
2,0,"-1223.11","-387.519","1571.34","-1476.45","-611.797","1020.15","-907.517","-557.093","1030.07","-1403.44","-562.003","1320.26","-1004.47","-519.605","1316.19","-1033.86","-493.498","464.141","-1487.57","-528.406","148.543","-949.625","-570.887","123.963","-1190.65","-406.513","1197.34","-1369.49","-481.64","467.694","-1040.89","-392.118","944.201","-1375.16","-398.002","1069.06","nan","nan","nan","nan","nan","nan"
3,0,"-1223.14","-387.634","1571.36","-1476.44","-611.896","1020.11","-907.524","-557.192","1030.09","-1403.44","-562.104","1320.24","-1004.46","-519.713","1316.24","-1033.88","-493.5","464.154","-1487.59","-528.409","148.551","-949.605","-570.914","123.966","-1190.65","-406.599","1197.36","-1369.48","-481.635","467.67","-1040.87","-392.205","944.221","-1375.13","-398.088","1069.05","nan","nan","nan","nan","nan","nan"
4,0,"-1223.17","-387.755","1571.38","-1476.42","-612.003","1020.07","-907.516","-557.3","1030.13","-1403.46","-562.178","1320.24","-1004.45","-519.76","1316.26","-1033.9","-493.495","464.159","-1487.61","-528.434","148.555","-949.619","-570.909","123.973","-1190.65","-406.677","1197.36","-1369.49","-481.629","467.701","-1040.85","-392.28","944.24","-1375.09","-398.168","1069.05","nan","nan","nan","nan","nan","nan"
5,0,"-1223.21","-387.869","1571.4","-1476.4","-612.09","1020.03","-907.501","-557.38","1030.14","-1403.47","-562.273","1320.22","-1004.52","-519.913","1316.24","-1033.89","-493.492","464.176","-1487.6","-528.453","148.535","-949.633","-570.926","123.94","-1190.66","-406.764","1197.39","-1369.5","-481.641","467.688","-1040.84","-392.347","944.258","-1375.08","-398.265","1069.04","nan","nan","nan","nan","nan","nan"
6,0,"-1223.24","-387.988","1571.44","-1476.37","-612.18","1019.99","-907.481","-557.456","1030.15","-1403.47","-562.388","1320.2","-1004.56","-520.008","1316.23","-1033.9","-493.497","464.172","-1487.6","-528.455","148.525","-949.618","-570.93","123.924","-1190.68","-406.847","1197.4","-1369.51","-481.648","467.671","-1040.85","-392.406","944.267","-1375.06","-398.353","1069","nan","nan","nan","nan","nan","nan"
7,0,"-1223.25","-388.111","1571.43","-1476.34","-612.246","1019.95","-907.461","-557.527","1030.15","-1403.48","-562.508","1320.16","-1004.6","-520.127","1316.25","-1033.92","-493.485","464.164","-1487.61","-528.461","148.502","-949.645","-570.898","123.938","-1190.69","-406.933","1197.41","-1369.52","-481.647","467.652","-1040.86","-392.472","944.289","-1375.03","-398.441","1069","nan","nan","nan","nan","nan","nan"
8,0,"-1223.28","-388.231","1571.44","-1476.31","-612.319","1019.92","-907.462","-557.609","1030.16","-1403.49","-562.635","1320.14","-1004.59","-520.21","1316.27","-1033.93","-493.482","464.15","-1487.62","-528.447","148.483","-949.643","-570.925","123.904","-1190.71","-407.017","1197.4","-1369.55","-481.636","467.676","-1040.85","-392.54","944.275","-1375.04","-398.53","1068.99","nan","nan","nan","nan","nan","nan"
9,0,"-1223.34","-388.365","1571.47","-1476.28","-612.448","1019.85","-907.449","-557.662","1030.17","-1403.51","-562.738","1320.12","-1004.62","-520.276","1316.27","-1033.95","-493.482","464.14","-1487.61","-528.446","148.462","-949.646","-570.921","123.876","-1190.76","-407.102","1197.41","-1369.57","-481.648","467.644","-1040.87","-392.583","944.285","-1375.03","-398.621","1068.99","nan","nan","nan","nan","nan","nan"
10,0,"-1223.38","-388.512","1571.5","-1476.25","-612.55","1019.82","-907.422","-557.731","1030.21","-1403.51","-562.871","1320.09","-1004.65","-520.348","1316.27","-1033.95","-493.483","464.13","-1487.63","-528.466","148.488","-949.648","-570.934","123.879","-1190.79","-407.182","1197.41","-1369.61","-481.641","467.648","-1040.91","-392.68","944.254","-1375.02","-398.725","1068.98","nan","nan","nan","nan","nan","nan"
