Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
220,0,"-988.949","-547.728","1065.11","-1302.13","-104.599","665.969","-1122.3","-0.806908","1417.5","-1096.36","-624.599","530.141","-1126.41","-774.214","179.393","-1034.57","-354.982","1316.63","-1099.62","-250.276","1101.79","-1338.03","-164.022","885.282","-923.838","-654.421","866.508","-1268.86","-290.519","141.627","-1204.52","-287.033","499.282","-1296.51","-87.9032","1177.15","nan","nan","nan","nan","nan","nan","nan","nan","nan"
221,0,"-988.343","-540.786","1062.22","-1304.16","-106.015","665.086","-1123.55","2.34529","1417.16","-1099.27","-626.429","531.382","-1132.62","-779.058","181.407","-1035.6","-351.642","1316.74","-1100.35","-247.322","1101.67","-1338.58","-164.773","884.517","-922.638","-643.128","861.192","-1269.11","-290.663","141.338","-1205.34","-287.225","499.125","-1297.64","-85.9823","1175.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
222,0,"-987.61","-534.181","1059.64","-1306.6","-106.613","664.39","-1124.77","5.26769","1416.78","-1102.1","-628.331","532.472","-1138.11","-783.847","184.193","-1036.7","-348.484","1316.78","-1100.94","-244.77","1101.55","-1338.91","-165.21","883.676","-921.442","-631.339","855.742","-1269.4","-290.32","141.826","-1205.99","-287.379","499.009","-1298.59","-84.0174","1174.9","nan","nan","nan","nan","nan","nan","nan","nan","nan"
223,0,"-987.016","-526.402","1056.25","-1308.23","-107.048","663.854","-1126.04","7.985","1416.47","-1104.92","-630.256","533.408","-1143.96","-788.275","186.459","-1037.79","-345.555","1316.92","-1101.26","-242.259","1101.35","-1338.76","-165.855","883.23","-920.166","-619.152","850.374","-1269.63","-290.329","141.893","-1206.57","-287.511","499.011","-1299.12","-82.088","1173.65","nan","nan","nan","nan","nan","nan","nan","nan","nan"
224,0,"-986.128","-519.098","1053.36","-1309.58","-107.149","663.23","-1127.4","10.5404","1416.2","-1107.78","-632.092","534.152","-1149.95","-792.547","188.753","-1038.9","-342.858","1317.09","-1101.6","-240.04","1101.26","-1338.61","-165.556","882.488","-919.113","-606.469","844.829","-1269.8","-290.48","141.729","-1207.33","-287.696","499.018","-1299.58","-80.2433","1172.65","nan","nan","nan","nan","nan","nan","nan","nan","nan"
225,0,"-985.141","-511.84","1050.64","-1310.84","-106.833","662.706","-1128.78","12.8365","1415.94","-1110.64","-633.868","534.938","-1156.02","-796.636","190.851","-1040.06","-340.355","1317.2","-1101.97","-238.022","1101.19","-1338.25","-164.895","881.795","-918.187","-593.201","839.18","-1269.99","-290.473","141.773","-1207.96","-287.871","498.976","-1299.98","-78.4668","1171.75","nan","nan","nan","nan","nan","nan","nan","nan","nan"
226,0,"-984.088","-504.576","1047.91","-1311.65","-106.126","661.985","-1130.17","14.9397","1415.78","-1113.46","-635.672","535.762","-1161.86","-800.38","193.175","-1041.22","-338.086","1317.38","-1102.41","-236.019","1101.2","-1337.84","-163.892","881.041","-917.121","-579.458","833.709","-1270.16","-290.494","141.776","-1208.58","-288.059","499.003","-1300.34","-76.8055","1170.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
227,0,"-983.07","-497.482","1045.38","-1312.34","-105.094","661.337","-1131.64","16.844","1415.59","-1116.32","-637.37","536.511","-1167.8","-804.101","195.387","-1042.39","-335.968","1317.5","-1102.99","-234.192","1101.26","-1337.16","-162.595","880.29","-916.373","-565.295","828.371","-1270.35","-290.547","141.706","-1209.27","-288.25","499.004","-1300.78","-75.23","1170.2","nan","nan","nan","nan","nan","nan","nan","nan","nan"
228,0,"-981.98","-490.501","1043.02","-1312.82","-103.574","660.721","-1133.02","18.638","1415.49","-1119.27","-639.132","537.281","-1173.8","-807.514","197.225","-1043.54","-333.997","1317.68","-1103.64","-232.591","1101.35","-1336.43","-161.103","879.455","-916.714","-550.634","822.908","-1270.54","-290.509","141.832","-1209.75","-288.333","499.093","-1301.27","-73.7815","1169.67","nan","nan","nan","nan","nan","nan","nan","nan","nan"
229,0,"-980.828","-483.777","1040.83","-1313.04","-101.678","660.126","-1134.38","20.1508","1415.38","-1122.12","-640.862","537.931","-1179.69","-810.653","199.04","-1044.72","-332.262","1317.92","-1104.25","-231.102","1101.48","-1335.58","-159.375","878.599","-916.357","-535.502","817.991","-1270.76","-290.352","142.107","-1210.35","-288.535","499.163","-1301.74","-72.4561","1169.04","nan","nan","nan","nan","nan","nan","nan","nan","nan"
230,0,"-979.654","-477.261","1038.81","-1313.09","-99.3302","659.634","-1135.76","21.4643","1415.29","-1125.03","-642.48","538.489","-1185.61","-813.486","200.528","-1045.87","-330.642","1318.13","-1104.92","-229.914","1101.6","-1334.63","-157.446","877.718","-916.242","-519.895","813.405","-1270.93","-290.282","142.219","-1211.01","-288.756","499.291","-1302.39","-71.2682","1168.64","nan","nan","nan","nan","nan","nan","nan","nan","nan"
231,0,"-978.448","-471.184","1037.04","-1313.02","-96.6601","659.278","-1137.1","22.6357","1415.27","-1127.89","-644.125","539.083","-1191.36","-816.084","202.247","-1047.06","-329.139","1318.28","-1105.47","-228.793","1101.75","-1333.68","-155.313","876.801","-916.284","-503.952","809.255","-1271.03","-290.322","142.193","-1211.64","-288.967","499.302","-1303.02","-70.1888","1168.19","nan","nan","nan","nan","nan","nan","nan","nan","nan"
232,0,"-977.124","-465.188","1035.39","-1312.35","-93.4902","658.358","-1138.39","23.6269","1415.31","-1130.77","-645.675","539.539","-1196.98","-818.618","203.478","-1048.2","-327.701","1318.34","-1106.21","-227.865","1101.94","-1332.58","-153.048","876.046","-916.609","-487.761","805.719","-1271.15","-290.564","141.912","-1212.33","-289.175","499.3","-1303.75","-69.1683","1167.99","nan","nan","nan","nan","nan","nan","nan","nan","nan"
233,0,"-975.796","-459.697","1034.04","-1311.93","-90.1687","658.053","-1139.65","24.4574","1415.41","-1133.35","-646.823","539.795","-1202.68","-820.818","204.519","-1049.32","-326.504","1318.48","-1106.94","-227.149","1102.07","-1331.5","-150.591","875.226","-917.134","-471.472","802.9","-1271.26","-290.646","141.875","-1213.07","-289.399","499.358","-1304.32","-68.4235","1167.52","-1121.29","-539.907","958.559","nan","nan","nan","nan","nan","nan"
234,0,"-974.417","-454.435","1032.89","-1311.43","-86.4927","657.818","-1140.87","25.1512","1415.53","-1136.23","-648.588","540.25","-1207.81","-822.068","206.503","-1050.36","-325.354","1318.55","-1107.65","-226.444","1102.25","-1330.38","-148.003","874.523","-917.932","-455.007","800.727","-1271.37","-290.874","141.665","-1213.62","-289.639","499.308","-1304.99","-67.6616","1167.34","-1122.58","-540.041","959.027","nan","nan","nan","nan","nan","nan"
235,0,"-973.093","-449.553","1031.94","-1310.76","-82.4565","657.626","-1142.05","25.7038","1415.7","-1138.71","-649.528","539.872","-1213.43","-824.239","207.25","-1051.35","-324.36","1318.56","-1108.28","-225.899","1102.32","-1329.09","-145.269","873.889","-919.123","-438.678","799.36","-1271.47","-290.98","141.609","-1214.28","-289.996","499.399","-1305.59","-67.0638","1167.11","-1123.75","-540.449","959.361","nan","nan","nan","nan","nan","nan"
236,0,"-971.893","-445.078","1031.13","-1310.08","-78.205","657.596","-1143.22","26.0431","1415.91","-1141.88","-651.561","540.858","-1218.51","-825.662","207.558","-1052.32","-323.577","1318.61","-1109","-225.574","1102.52","-1327.81","-142.317","873.18","-920.369","-422.353","798.945","-1271.59","-290.798","141.978","-1214.87","-290.471","499.474","-1306.18","-66.4918","1166.91","-1124.9","-540.908","959.694","nan","nan","nan","nan","nan","nan"
237,0,"-970.729","-440.829","1030.47","-1309.21","-73.5552","657.631","-1144.33","26.1906","1416.1","-1144.27","-652.524","540.521","-1223.6","-827.177","208.45","-1053.24","-322.994","1318.7","-1109.7","-225.241","1102.58","-1326.42","-139.21","872.521","-922.054","-406.469","799.301","-1271.75","-290.696","142.208","-1215.36","-291.061","499.449","-1306.68","-66.0962","1166.8","-1126.13","-541.43","960.014","nan","nan","nan","nan","nan","nan"
238,0,"-969.715","-436.968","1029.93","-1308.24","-68.4018","657.771","-1145.37","26.3929","1416.41","-1146.78","-653.522","540.131","-1228.4","-828.207","209.334","-1054.09","-322.428","1318.6","-1110.38","-225.032","1102.72","-1324.95","-135.905","871.89","-924.011","-390.881","800.414","-1271.75","-290.947","142.037","-1215.81","-291.746","499.207","-1307.2","-65.7644","1166.79","-1127.34","-542.055","960.354","nan","nan","nan","nan","nan","nan"
239,0,"-968.744","-433.323","1029.59","-1307.11","-62.8262","658.024","-1146.44","26.3226","1416.69","-1149.26","-654.956","540.42","-1233.09","-829.346","209.343","-1054.89","-322.132","1318.59","-1111.07","-224.918","1102.75","-1323.45","-132.394","871.254","-926.206","-375.673","802.314","-1271.86","-291.016","142.104","-1216.13","-292.349","499.122","-1307.69","-65.5403","1166.85","-1128.52","-542.683","960.582","nan","nan","nan","nan","nan","nan"
240,0,"-967.88","-429.99","1029.27","-1305.93","-56.892","658.504","-1147.45","26.1041","1416.97","-1151.65","-656.195","540.497","-1237.74","-830.157","209.827","-1055.67","-321.968","1318.58","-1111.73","-224.953","1102.76","-1321.85","-128.694","870.693","-928.902","-361.175","804.819","-1271.95","-291.131","142.176","-1215.99","-293.129","499.616","-1308.09","-65.5194","1166.88","-1129.67","-543.473","960.811","nan","nan","nan","nan","nan","nan"
241,0,"-967.087","-426.753","1029.03","-1304.68","-50.5544","659.111","-1148.48","25.8151","1417.33","-1153.68","-657.511","540.251","-1242.13","-830.894","209.838","-1056.39","-321.975","1318.54","-1112.24","-225.01","1102.82","-1320.3","-124.815","870.182","-931.78","-347.584","807.972","-1271.98","-291.339","142.092","-1215.97","-293.564","499.795","-1308.48","-65.5869","1166.98","-1130.84","-544.278","960.948","nan","nan","nan","nan","nan","nan"
242,0,"-966.436","-423.776","1028.95","-1303.26","-43.8036","659.88","-1149.46","25.3427","1417.67","-1155.9","-658.734","540.39","-1246.51","-831.33","210.208","-1057.13","-322.111","1318.44","-1112.72","-225.103","1102.81","-1318.71","-120.66","869.768","-934.833","-334.593","811.55","-1272.07","-291.606","141.907","-1216.27","-294.259","499.702","-1308.81","-65.7423","1167.07","-1131.96","-545.146","960.969","nan","nan","nan","nan","nan","nan"
243,0,"-965.806","-420.885","1028.99","-1301.8","-36.8074","660.933","-1150.49","24.6705","1418.01","-1157.4","-659.859","540.948","-1250.71","-831.691","210.202","-1057.83","-322.409","1318.49","-1113.15","-225.394","1102.81","-1317.1","-116.348","869.533","-937.974","-322.587","815.59","-1272.13","-291.711","141.971","-1216.36","-294.504","499.915","-1309.16","-65.9831","1167.22","-1133.03","-546.091","960.923","nan","nan","nan","nan","nan","nan"
244,0,"-965.264","-418.195","1029.03","-1300.16","-29.4287","662.161","-1151.45","24.0274","1418.39","-1159.3","-660.877","540.671","-1254.4","-831.837","210.086","-1058.62","-322.827","1318.44","-1113.51","-225.764","1102.81","-1315.47","-111.851","869.378","-941.367","-311.572","819.717","-1272.18","-291.96","141.722","-1216.39","-294.197","501.038","-1309.47","-66.3481","1167.4","-1134.06","-547.118","960.809","nan","nan","nan","nan","nan","nan"
245,0,"-964.401","-415.474","1029.22","-1298.5","-21.7283","663.613","-1152.36","23.1023","1418.68","-1161.26","-661.887","540.468","-1257.95","-832.301","209.577","-1059.44","-323.372","1318.39","-1113.83","-226.228","1102.77","-1313.84","-107.275","869.368","-944.807","-301.38","823.94","-1272.09","-290.711","143.305","-1216.43","-294.726","500.962","-1309.87","-66.7514","1167.93","-1135.11","-548.123","960.571","nan","nan","nan","nan","nan","nan"
246,0,"-963.977","-413.181","1029.31","-1296.77","-13.7115","665.433","-1153.24","22.0758","1418.97","-1162.63","-663.408","541.048","-1261.96","-832.101","209.285","-1060.22","-324.112","1318.35","-1114.14","-226.715","1102.79","-1312.16","-102.567","869.541","-948.226","-292.23","828.009","-1272.03","-291.608","142.273","-1216.66","-295.952","500.124","-1310.15","-67.2906","1168.36","-1136.11","-549.092","960.362","nan","nan","nan","nan","nan","nan"
247,0,"-963.667","-410.971","1029.22","-1294.98","-5.26746","667.57","-1154.08","20.8959","1419.2","-1164.23","-664.346","540.607","-1265.67","-833.019","208.735","-1061.03","-325.025","1318.26","-1114.48","-227.362","1102.73","-1310.44","-97.7547","869.82","-951.821","-284.08","831.824","-1272.15","-291.858","142.335","-1216.65","-296.307","500.166","-1310.44","-67.9298","1168.82","-1137.12","-550.057","960.08","nan","nan","nan","nan","nan","nan"
248,0,"-963.341","-408.768","1029.08","-1292.71","3.39973","669.462","-1154.84","19.6101","1419.45","-1165.75","-665.2","540.182","-1268.25","-832.247","208.517","-1061.84","-326.035","1318.07","-1114.8","-227.972","1102.65","-1308.73","-92.7605","870.244","-955.342","-276.804","835.442","-1271.99","-291.942","142.098","-1216.68","-296.606","500.263","-1310.78","-68.6049","1169.42","-1138.12","-551.023","959.646","nan","nan","nan","nan","nan","nan"
249,0,"-963.114","-406.635","1028.84","-1290.52","12.5217","672.172","-1155.57","18.2017","1419.66","-1167.19","-666.008","539.52","-1271.62","-832.149","207.68","-1062.66","-327.191","1317.89","-1115.22","-228.819","1102.6","-1307.04","-87.6671","870.877","-958.837","-270.316","838.63","-1271.59","-291.938","141.778","-1216.71","-296.845","500.316","-1310.97","-69.4483","1169.92","-1139.08","-552.062","959.222","nan","nan","nan","nan","nan","nan"
250,0,"-962.977","-404.577","1028.55","-1288.12","22.005","675.224","-1156.23","16.5843","1419.88","-1168.56","-666.789","538.85","-1274.38","-831.655","206.47","-1063.45","-328.463","1317.66","-1115.58","-229.58","1102.49","-1305.38","-82.4337","871.603","-962.207","-264.744","841.395","-1271.51","-292.269","141.46","-1216.71","-297.023","500.266","-1311.24","-70.294","1170.68","-1140.02","-553.186","958.795","nan","nan","nan","nan","nan","nan"
251,0,"-963.478","-402.188","1027.87","-1285.6","31.6721","678.613","-1156.82","14.8678","1420.1","-1169.88","-667.497","538.057","-1277.64","-831.199","203.652","-1064.23","-329.896","1317.38","-1116.04","-230.629","1102.44","-1303.75","-77.173","872.624","-965.495","-260.028","843.685","-1271.38","-292.316","141.257","-1216.5","-297.433","499.745","-1311.45","-71.2628","1171.39","-1141","-554.398","958.307","nan","nan","nan","nan","nan","nan"
252,0,"-963.558","-400.345","1027.53","-1282.99","41.463","682.403","-1157.4","13.0155","1420.32","-1171.07","-668.171","537.317","-1279.94","-830.408","202.426","-1065","-331.392","1317.14","-1116.51","-231.615","1102.27","-1302.13","-71.8446","873.735","-968.984","-256.109","845.269","-1271.29","-292.35","141.399","-1216.47","-297.602","499.791","-1311.62","-72.2624","1172.17","-1142","-555.708","957.782","nan","nan","nan","nan","nan","nan"
253,0,"-963.808","-398.59","1027.08","-1280.32","51.3188","686.537","-1157.95","11.0133","1420.48","-1172.2","-668.876","536.534","-1281.98","-829.584","201.141","-1065.76","-332.992","1316.91","-1116.98","-232.714","1102.16","-1300.5","-66.5314","875.095","-972.155","-252.742","846.344","-1270.86","-292.689","140.274","-1216.58","-297.531","500.267","-1311.8","-73.3733","1172.98","-1143.07","-557.096","957.238","nan","nan","nan","nan","nan","nan"
254,0,"-964.247","-397.182","1026.22","-1277.63","61.0893","691.136","-1158.46","8.94556","1420.65","-1173.2","-669.51","535.745","-1283.71","-828.671","199.731","-1066.47","-334.671","1316.67","-1117.48","-233.988","1102.12","-1298.93","-61.2201","876.703","-975.276","-249.972","846.836","-1271.02","-292.463","140.865","-1216.53","-297.592","500.348","-1312","-74.585","1173.92","-1144.17","-558.618","956.709","nan","nan","nan","nan","nan","nan"
255,0,"-964.801","-395.425","1025.41","-1274.8","70.8496","696.048","-1158.96","6.8335","1420.89","-1174.11","-670.194","534.864","-1285.31","-827.613","198.165","-1067.14","-336.461","1316.48","-1118.06","-235.165","1102.01","-1297.28","-55.9097","878.565","-978.414","-247.832","846.722","-1270.96","-292.458","140.938","-1216.47","-297.59","500.406","-1312.2","-75.8684","1174.81","-1145.31","-560.275","956.319","nan","nan","nan","nan","nan","nan"
256,0,"-965.557","-393.746","1024.47","-1271.91","80.4783","701.304","-1159.45","4.53746","1421.01","-1174.92","-670.834","533.996","-1286.8","-826.554","196.787","-1067.81","-338.338","1316.3","-1118.64","-236.474","1101.87","-1295.63","-50.6814","880.609","-981.052","-245.995","846.109","-1271.3","-291.91","142.316","-1216.36","-297.499","500.535","-1312.38","-77.2593","1175.74","-1146.48","-562.069","955.845","nan","nan","nan","nan","nan","nan"
257,0,"-966.224","-392.107","1023.57","-1268.92","89.9948","706.945","-1160.01","2.11699","1421.21","-1175.63","-671.603","533.116","-1288.02","-825.492","195.064","-1068.45","-340.272","1316.09","-1119.22","-237.937","1101.77","-1294.01","-45.644","882.837","-983.502","-244.985","844.903","-1270.03","-293.412","140.094","-1215.79","-298.005","499.932","-1312.57","-78.7593","1176.74","-1147.62","-563.872","955.191","nan","nan","nan","nan","nan","nan"
258,0,"-967.105","-390.64","1022.6","-1265.89","99.3014","712.888","-1160.52","-0.386823","1421.35","-1176.05","-672.37","532.09","-1289.08","-824.374","193.349","-1069.15","-342.38","1315.93","-1119.82","-239.426","1101.55","-1292.33","-40.6716","885.212","-985.443","-244.101","843.645","-1270.54","-292.466","141.064","-1215.51","-297.93","500.094","-1312.82","-80.3466","1177.77","-1149","-565.701","954.699","nan","nan","nan","nan","nan","nan"
259,0,"-967.881","-389.249","1021.66","-1262.83","108.401","719.135","-1161.04","-2.88462","1421.57","-1176.65","-673.216","531.077","-1290.05","-823.326","191.656","-1069.8","-344.422","1315.46","-1120.37","-241.091","1101.46","-1290.61","-35.8792","887.844","-987.109","-243.777","842.195","-1270.28","-292.459","141.036","-1215.13","-297.919","500.306","-1313.06","-82.0976","1178.76","-1150.4","-567.654","954.198","nan","nan","nan","nan","nan","nan"
260,0,"-968.6","-387.977","1020.62","-1259.69","117.231","725.736","-1161.6","-5.59221","1421.74","-1177.19","-674.228","530.108","-1290.93","-822.286","189.973","-1070.47","-346.583","1314.9","-1120.97","-242.708","1101.2","-1288.97","-31.2597","890.654","-988.285","-243.611","840.437","-1270.23","-292.182","141.258","-1214.95","-297.538","500.933","-1313.44","-83.8792","1179.95","-1151.78","-569.788","953.76","nan","nan","nan","nan","nan","nan"
261,0,"-969.402","-387.11","1019.43","-1256.48","125.856","732.543","-1162.17","-8.28998","1421.96","-1177.56","-675.305","529.22","-1291.62","-821.313","188.127","-1071.09","-348.864","1314.31","-1121.64","-244.524","1101.03","-1287.33","-26.7664","893.65","-989.192","-243.519","838.635","-1269.84","-292.314","141.132","-1214.55","-297.514","501.023","-1313.81","-86.0011","1181.1","-1152.19","-572.899","953.997","nan","nan","nan","nan","nan","nan"
262,0,"-970.144","-386.526","1018.18","-1253.31","134.209","739.71","-1162.78","-11.2401","1422.21","-1177.79","-676.579","528.29","-1292.29","-820.401","186.44","-1071.73","-351.282","1313.69","-1122.39","-246.344","1100.63","-1285.76","-22.3777","896.876","-989.655","-243.645","836.853","-1269.77","-292.104","141.254","-1214","-297.5","501.263","-1314.17","-88.2162","1182.24","-1153.73","-575.262","953.358","nan","nan","nan","nan","nan","nan"
263,0,"-970.841","-386.253","1016.87","-1250.16","142.257","747.101","-1163.33","-14.2166","1422.47","-1177.95","-677.964","527.41","-1292.85","-819.504","184.599","-1072.37","-353.711","1312.9","-1123.08","-248.151","1100.3","-1284.22","-18.1733","900.208","-989.618","-243.749","835.385","-1269.54","-292.064","141.389","-1213.45","-297.512","501.564","-1314.6","-90.3924","1183.34","-1155.33","-577.246","953.126","nan","nan","nan","nan","nan","nan"
264,0,"-971.52","-386.251","1015.58","-1247.11","150.022","754.625","-1163.99","-17.3357","1422.83","-1178.03","-679.496","526.566","-1293.48","-818.649","182.982","-1072.97","-356.288","1312.14","-1124.02","-250.119","1099.86","-1282.71","-14.1003","903.628","-989.425","-243.65","834.07","-1269.54","-291.916","142.287","-1212.99","-297.68","501.846","-1314.99","-92.7486","1184.3","-1156.75","-579.719","952.722","nan","nan","nan","nan","nan","nan"
265,0,"-972.296","-386.523","1014.17","-1244.2","157.358","762.358","-1164.6","-20.6006","1423.11","-1178.14","-681.106","525.648","-1293.88","-817.883","181.095","-1073.64","-358.937","1311.32","-1124.92","-252.051","1099.44","-1281.24","-10.2882","907.158","-989.031","-243.307","833.318","-1269.13","-292.126","141.539","-1212.61","-297.892","502.08","-1315.5","-95.1834","1185.45","-1158.11","-582.231","952.297","nan","nan","nan","nan","nan","nan"
266,0,"-973.133","-386.909","1012.65","-1241.39","164.317","770.176","-1165.27","-24.0591","1423.43","-1178.15","-682.721","524.755","-1294.18","-817.223","179.23","-1074.3","-361.737","1310.57","-1125.94","-254.08","1099.07","-1279.85","-6.78153","910.761","-988.66","-242.903","832.828","-1268.91","-292.554","141.114","-1212.26","-298.23","502.256","-1315.99","-97.6565","1186.37","-1159.46","-584.809","951.746","nan","nan","nan","nan","nan","nan"
267,0,"-974.475","-387.584","1010.94","-1238.73","170.869","778.018","-1166.01","-27.6","1423.78","-1178.23","-684.632","523.698","-1294.48","-816.601","177.371","-1075.06","-364.698","1309.78","-1127.08","-256.374","1098.56","-1278.52","-3.54501","914.444","-988.12","-242.679","832.423","-1268.83","-292.37","141.429","-1212","-298.79","503.008","-1316.56","-100.24","1187.43","-1160.72","-587.455","951.165","nan","nan","nan","nan","nan","nan"
268,0,"-975.123","-388.34","1009.86","-1236.22","176.836","786.013","-1166.74","-31.1645","1424.13","-1178.32","-686.477","522.612","-1294.67","-816.11","175.423","-1075.85","-367.71","1309","-1128.18","-258.697","1098.23","-1277.26","-0.660013","918.154","-987.613","-242.369","832.306","-1268.68","-292.271","141.639","-1211.54","-299.216","502.784","-1317.1","-102.936","1188.32","-1162","-590.124","950.515","nan","nan","nan","nan","nan","nan"
269,0,"-975.786","-389.255","1008.93","-1233.83","182.315","794.055","-1167.55","-34.8251","1424.55","-1178.42","-688.352","521.421","-1294.82","-815.754","173.573","-1076.73","-370.923","1308.44","-1129.44","-261.261","1097.73","-1276.07","2.0189","921.951","-987.009","-242.219","832.391","-1268.49","-292.455","141.461","-1211.59","-299.796","503.289","-1317.69","-105.784","1189.21","-1163.18","-592.842","949.697","nan","nan","nan","nan","nan","nan"
270,0,"-976.429","-390.404","1008.16","-1231.57","187.343","801.978","-1168.47","-38.6191","1425","-1178.56","-690.457","520.328","-1295.03","-815.471","171.675","-1077.6","-374.104","1307.78","-1130.7","-263.98","1097.41","-1274.95","4.38372","925.809","-986.532","-242.247","832.598","-1268.39","-292.534","141.454","-1210.73","-300.894","503.018","-1318.31","-108.763","1190.05","-1164.38","-595.712","948.828","nan","nan","nan","nan","nan","nan"
271,0,"-977.052","-391.798","1007.43","-1229.4","191.895","809.864","-1169.45","-42.4995","1425.43","-1178.65","-692.442","519.06","-1295.19","-815.406","169.633","-1078.57","-377.501","1307.13","-1131.99","-266.691","1097.14","-1273.92","6.43556","929.647","-986.333","-242.46","832.821","-1268.22","-292.817","141.214","-1210.74","-301.598","502.569","-1319.01","-111.863","1190.9","-1165.52","-598.538","947.909","nan","nan","nan","nan","nan","nan"
272,0,"-977.694","-393.499","1006.79","-1227.34","196.059","817.72","-1170.45","-46.5542","1425.87","-1178.68","-694.545","517.874","-1295.49","-815.525","167.762","-1079.6","-381.038","1306.63","-1133.42","-269.59","1096.82","-1273.01","8.15742","933.469","-986.172","-242.493","833.537","-1268.11","-293.141","140.917","-1211.03","-302.499","502.675","-1319.7","-115.103","1191.63","-1166.64","-601.32","946.878","nan","nan","nan","nan","nan","nan"
273,0,"-978.349","-395.429","1006.32","-1225.42","199.71","825.623","-1171.56","-50.6451","1426.38","-1178.71","-696.662","516.642","-1295.99","-815.676","166","-1080.63","-384.644","1306.01","-1134.91","-272.675","1096.47","-1272.22","9.55407","937.322","-986.127","-242.9","834.3","-1268.03","-293.109","141.077","-1210.91","-303.774","502.512","-1320.37","-118.481","1192.26","-1167.72","-604.25","945.819","nan","nan","nan","nan","nan","nan"
274,0,"-979.093","-397.473","1005.82","-1223.78","202.767","833.85","-1172.68","-54.8432","1426.92","-1178.73","-698.856","515.379","-1296.59","-815.904","164.17","-1081.72","-388.375","1305.38","-1136.34","-275.838","1096.28","-1271.5","10.5787","941.1","-985.517","-243.324","835.335","-1267.93","-293.349","140.971","-1211.13","-304.98","502.629","-1321.12","-121.981","1192.99","-1168.76","-607.313","944.839","nan","nan","nan","nan","nan","nan"
275,0,"-979.855","-399.742","1005.5","-1221.82","205.225","841.621","-1173.91","-59.138","1427.43","-1178.73","-700.996","513.969","-1297.29","-816.295","162.476","-1082.76","-392.287","1304.96","-1137.84","-279.225","1096.09","-1270.9","11.199","944.836","-985.459","-243.815","836.494","-1267.86","-293.488","141.103","-1211.38","-306.376","502.688","-1321.91","-125.585","1193.73","-1169.76","-610.47","943.855","nan","nan","nan","nan","nan","nan"
276,0,"-980.666","-402.168","1005.17","-1220.3","207.814","849.356","-1175.13","-63.5226","1428","-1178.72","-703.11","512.592","-1298.2","-816.65","160.907","-1083.89","-396.294","1304.43","-1139.29","-282.662","1095.98","-1270.68","10.9326","948.324","-985.536","-244.359","837.936","-1267.79","-293.767","141.051","-1211.73","-308.011","502.721","-1322.7","-129.29","1194.34","-1170.68","-613.598","942.764","nan","nan","nan","nan","nan","nan"
277,0,"-981.451","-404.767","1004.97","-1218.76","209.836","856.938","-1176.41","-68.0126","1428.54","-1178.73","-705.261","511.261","-1299.32","-816.992","159.434","-1084.97","-400.397","1303.9","-1140.66","-286.188","1095.94","-1270.36","10.8988","951.959","-985.704","-245.076","839.441","-1267.89","-294.013","141.153","-1212.08","-309.828","502.666","-1323.58","-133.132","1195.05","-1171.6","-616.811","941.728","nan","nan","nan","nan","nan","nan"
278,0,"-982.233","-407.442","1004.76","-1217.42","211.062","864.445","-1177.73","-72.6349","1429.12","-1178.64","-707.178","509.862","-1300.35","-817.297","157.92","-1086.13","-404.739","1303.49","-1142.03","-289.793","1095.8","-1270.24","10.5587","955.559","-986.177","-245.773","841.039","-1267.98","-294.529","140.933","-1212.71","-311.587","502.751","-1324.5","-137.099","1195.76","-1172.44","-620.089","940.73","nan","nan","nan","nan","nan","nan"
279,0,"-982.98","-410.253","1004.53","-1216.13","211.967","871.756","-1179.09","-77.3046","1429.73","-1178.6","-709.074","508.495","-1301.69","-817.436","156.464","-1087.3","-409.132","1303.07","-1143.24","-293.427","1095.74","-1270.28","9.8978","959.113","-986.871","-246.524","842.942","-1268.08","-294.93","140.836","-1213.17","-313.633","502.711","-1325.42","-141.182","1196.49","-1173.27","-623.373","939.723","nan","nan","nan","nan","nan","nan"
