Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1464)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1472)",,,"Reconstruction Position - Unlabeled Track (1474)",,,"Reconstruction Position - Unlabeled Track (1480)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1487)",,,"Reconstruction Position - Unlabeled Track (1488)",,,"Reconstruction Position - Unlabeled Track (1489)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"-908.28","-521.671","987.197","-1147.21","-483.484","1605.35","-995.284","-539.955","484.944","-952.63","-614.278","125.641","-1146.34","-451.83","1199.52","-1299.54","-398.538","957.059","-1365.75","-567.76","1325.85","-992.701","-403.342","810.858","-959.391","-562.263","1310.09","-1299.38","-525.129","475.462","-1390.16","-581.192","147.735","nan","nan","nan","nan","nan","nan","nan","nan","nan"
2,0,"-908.118","-521.491","987.234","-1147.1","-483.399","1605.32","-995.11","-539.715","485.047","-952.61","-614.251","125.628","-1146.27","-451.741","1199.56","-1299.38","-398.521","957.129","-1365.63","-567.783","1325.9","-992.615","-403.23","810.865","-959.271","-562.131","1310.11","-1299.4","-525.176","475.444","-1390.2","-581.215","147.681","nan","nan","nan","nan","nan","nan","nan","nan","nan"
3,0,"-907.856","-521.14","987.188","-1146.96","-483.297","1605.29","-995.041","-539.57","485.04","-952.569","-614.245","125.603","-1146.19","-451.664","1199.59","-1299.21","-398.504","957.161","-1365.49","-567.806","1325.92","-992.512","-403.105","810.917","-959.147","-562.014","1310.13","-1299.44","-525.2","475.502","-1390.28","-581.283","147.75","nan","nan","nan","nan","nan","nan","nan","nan","nan"
4,0,"-907.568","-520.837","987.184","-1146.82","-483.177","1605.25","-994.892","-539.335","485.099","-952.546","-614.189","125.588","-1146.1","-451.586","1199.6","-1299.13","-398.475","957.331","-1365.33","-567.809","1325.97","-992.391","-402.969","810.926","-958.965","-561.865","1310.18","-1299.43","-525.256","475.401","-1390.33","-581.307","147.777","nan","nan","nan","nan","nan","nan","nan","nan","nan"
5,0,"-907.485","-520.758","987.222","-1146.7","-483.056","1605.22","-994.721","-539.163","485.111","-952.473","-614.204","125.525","-1146.02","-451.513","1199.6","-1299","-398.452","957.379","-1365.19","-567.79","1326.05","-992.274","-402.804","810.964","-958.866","-561.719","1310.18","-1299.39","-525.307","475.397","-1390.36","-581.332","147.788","nan","nan","nan","nan","nan","nan","nan","nan","nan"
6,0,"-907.251","-520.522","987.226","-1146.57","-482.939","1605.2","-994.456","-538.927","485.17","-952.433","-614.168","125.52","-1145.92","-451.446","1199.62","-1298.88","-398.419","957.479","-1365","-567.741","1326.07","-992.153","-402.658","810.983","-958.694","-561.535","1310.2","-1299.37","-525.388","475.377","-1390.39","-581.351","147.795","nan","nan","nan","nan","nan","nan","nan","nan","nan"
7,0,"-907.084","-520.44","987.32","-1146.47","-482.844","1605.19","-994.23","-538.647","485.231","-952.385","-614.139","125.518","-1145.83","-451.373","1199.63","-1298.65","-398.37","957.416","-1364.83","-567.739","1326.09","-992.009","-402.523","811.001","-958.53","-561.357","1310.22","-1299.32","-525.452","475.36","-1390.41","-581.367","147.835","nan","nan","nan","nan","nan","nan","nan","nan","nan"
8,0,"-906.91","-520.337","987.403","-1146.34","-482.709","1605.2","-993.926","-538.316","485.3","-952.316","-614.099","125.51","-1145.72","-451.287","1199.63","-1298.47","-398.341","957.448","-1364.66","-567.727","1326.12","-991.857","-402.385","810.998","-958.392","-561.191","1310.21","-1299.28","-525.564","475.364","-1390.45","-581.408","147.884","nan","nan","nan","nan","nan","nan","nan","nan","nan"
9,0,"-906.665","-520.081","987.397","-1146.2","-482.556","1605.19","-993.631","-538.05","485.334","-952.341","-613.941","125.516","-1145.61","-451.211","1199.69","-1298.3","-398.299","957.522","-1364.51","-567.72","1326.19","-991.712","-402.294","811.008","-958.222","-561.014","1310.22","-1299.24","-525.671","475.367","-1390.48","-581.447","147.988","nan","nan","nan","nan","nan","nan","nan","nan","nan"
10,0,"-906.435","-519.881","987.422","-1146.06","-482.42","1605.16","-993.483","-537.972","485.262","-952.263","-613.873","125.476","-1145.5","-451.112","1199.75","-1298.14","-398.263","957.624","-1364.33","-567.724","1326.25","-991.552","-402.185","811.041","-958.014","-560.808","1310.27","-1299.19","-525.807","475.375","-1390.49","-581.486","148.044","nan","nan","nan","nan","nan","nan","nan","nan","nan"
11,0,"-906.206","-519.655","987.443","-1145.95","-482.313","1605.16","-993.132","-537.703","485.364","-952.084","-613.862","125.443","-1145.37","-451.006","1199.8","-1297.98","-398.267","957.676","-1364.15","-567.724","1326.29","-991.404","-402.086","811.049","-957.798","-560.643","1310.38","-1299.13","-525.896","475.402","-1390.5","-581.531","148.144","nan","nan","nan","nan","nan","nan","nan","nan","nan"
