Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (623)",,,"Reconstruction Position - Unlabeled Track (635)",,,"Reconstruction Position - Unlabeled Track (640)",,,"Reconstruction Position - Unlabeled Track (641)",,,"Reconstruction Position - Unlabeled Track (643)",,,"Reconstruction Position - Unlabeled Track (644)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"801.11","85.3892","1348.84","370.804","161.396","962.402","835.724","201.515","985.835","638.776","-25.0894","1237.97","832.009","173.149","80.4368","765.032","52.522","428.511","476.993","-62.4398","847.212","637.674","-66.1219","1553.5","410.214","142.011","85.4258","423.044","44.8916","1296.29","482.994","24.0966","423.902","464.994","23.6806","940.353","764.395","-50.2104","1004.74"
2,0,"801.026","85.5455","1348.93","370.733","161.509","962.386","835.804","201.596","985.896","638.717","-24.9895","1238.06","832.02","173.159","80.4234","765.032","52.5222","428.59","476.98","-62.2588","847.197","637.917","-65.9938","1553.4","410.21","142.018","85.4087","422.964","45.0145","1296.3","483.002","24.1225","423.921","465.005","23.8443","940.382","764.34","-50.1071","1004.87"
3,0,"800.931","85.691","1349","370.65","161.64","962.387","835.883","201.644","985.979","638.652","-24.8942","1238.14","832.038","173.153","80.4121","765.029","52.5537","428.58","477.027","-62.1362","847.163","638.16","-65.8661","1553.3","410.206","142.011","85.399","422.893","45.1371","1296.31","483.019","24.1199","423.961","465.029","24.0262","940.415","764.309","-50.0052","1005.02"
4,0,"800.85","85.8304","1349.07","370.591","161.761","962.398","835.96","201.693","986.047","638.577","-24.8083","1238.22","832.045","173.154","80.4026","764.88","52.6869","428.59","477.042","-61.9854","847.146","638.414","-65.7463","1553.19","410.201","142.016","85.395","422.798","45.2544","1296.33","483.025","24.1372","423.964","465.046","24.1973","940.433","764.274","-49.9067","1005.14"
5,0,"800.772","85.9693","1349.14","370.541","161.891","962.404","836.025","201.745","986.093","638.524","-24.7221","1238.3","832.05","173.163","80.3772","764.881","52.7014","428.582","477.042","-61.8161","847.151","638.676","-65.6284","1553.09","410.197","142.009","85.3799","422.731","45.3898","1296.34","483.024","24.1591","423.961","465.054","24.36","940.453","764.232","-49.8095","1005.26"
6,0,"800.699","86.0897","1349.19","370.479","162.02","962.403","836.086","201.756","986.176","638.465","-24.6345","1238.37","832.052","173.159","80.3785","764.88","52.7284","428.586","477.033","-61.6406","847.156","638.924","-65.4995","1552.98","410.186","142.017","85.3672","422.676","45.5062","1296.34","483.003","24.1826","423.97","465.048","24.5209","940.453","764.209","-49.7233","1005.37"
7,0,"800.616","86.2052","1349.26","370.432","162.131","962.39","836.138","201.792","986.232","638.401","-24.5358","1238.42","832.049","173.184","80.3456","765.046","52.6636","428.568","477.051","-61.4682","847.181","639.181","-65.3536","1552.85","410.171","142","85.3788","422.609","45.6321","1296.36","482.985","24.209","423.974","465.048","24.6971","940.484","764.183","-49.6441","1005.48"
8,0,"800.544","86.3155","1349.32","370.386","162.253","962.401","836.209","201.806","986.317","638.346","-24.4312","1238.47","832.047","173.186","80.3319","764.885","52.7888","428.594","477.027","-61.283","847.202","639.426","-65.2086","1552.72","410.16","142.025","85.3582","422.542","45.7556","1296.37","482.994","24.2454","423.994","465.044","24.8739","940.491","764.155","-49.5722","1005.58"
9,0,"800.47","86.4239","1349.39","370.39","162.412","962.452","836.254","201.844","986.373","638.275","-24.3125","1238.51","832.056","173.192","80.3292","765.048","52.7553","428.551","477.051","-61.1374","847.19","639.678","-65.0817","1552.62","410.144","142.009","85.3757","422.47","45.8834","1296.38","482.984","24.2701","424.011","465.033","25.0306","940.503","764.114","-49.5115","1005.65"
10,0,"800.393","86.5301","1349.46","370.368","162.542","962.466","836.299","201.884","986.413","638.217","-24.2015","1238.56","832.05","173.204","80.3193","765.078","52.7526","428.589","477.06","-60.978","847.176","639.919","-64.9538","1552.52","410.142","142.042","85.3455","422.395","46.0046","1296.4","482.995","24.2872","424.039","465.028","25.1788","940.52","764.082","-49.462","1005.74"
11,0,"800.308","86.6411","1349.53","370.355","162.698","962.463","836.32","201.925","986.459","638.131","-24.0992","1238.59","832.066","173.206","80.3115","765.048","52.8025","428.62","477.057","-60.8257","847.162","640.158","-64.8212","1552.43","410.13","142.064","85.3225","422.324","46.1217","1296.4","482.998","24.2913","424.046","465.035","25.349","940.534","764.03","-49.4101","1005.82"
12,0,"800.217","86.7282","1349.59","370.307","162.838","962.486","836.361","201.954","986.518","638.043","-24.0343","1238.65","832.075","173.215","80.3074","765.054","52.834","428.615","477.01","-60.6435","847.18","640.402","-64.6791","1552.34","410.133","142.067","85.3086","422.232","46.236","1296.41","482.993","24.2957","424.062","465.047","25.5046","940.535","764","-49.3636","1005.91"
13,0,"800.137","86.8118","1349.65","370.28","162.979","962.498","836.389","201.98","986.564","637.957","-23.9809","1238.69","832.086","173.231","80.2872","764.898","52.9818","428.622","477","-60.5137","847.143","640.631","-64.5658","1552.26","410.132","142.069","85.2918","422.139","46.3465","1296.42","482.98","24.2903","424.063","465.051","25.6756","940.532","763.953","-49.323","1005.97"
14,0,"800.057","86.8823","1349.69","370.246","163.113","962.481","836.417","202.005","986.611","637.878","-23.938","1238.73","832.086","173.234","80.2721","765.105","52.8924","428.633","477.01","-60.3915","847.101","640.846","-64.4502","1552.19","410.128","142.07","85.2652","422.051","46.4456","1296.43","482.971","24.295","424.035","465.071","25.8423","940.526","763.899","-49.2773","1006.03"
15,0,"799.989","86.9286","1349.74","370.213","163.251","962.486","836.437","202.034","986.656","637.809","-23.9031","1238.76","832.106","173.226","80.2599","765.163","52.9287","428.603","476.849","-60.1026","847.194","641.041","-64.3399","1552.12","410.124","142.054","85.2544","421.975","46.5423","1296.42","482.992","24.2943","424.033","465.05","25.9962","940.512","763.834","-49.2344","1006.08"
16,0,"799.932","86.9642","1349.8","370.17","163.389","962.501","836.455","202.049","986.708","637.738","-23.8774","1238.79","832.124","173.217","80.2405","765.193","52.975","428.591","477.006","-60.1456","847.028","641.233","-64.242","1552.08","410.116","142.049","85.2334","421.924","46.6249","1296.41","482.979","24.293","424.043","465.036","26.1479","940.498","763.777","-49.1908","1006.14"
17,0,"799.865","86.9896","1349.83","370.124","163.51","962.505","836.467","202.071","986.76","637.673","-23.8283","1238.81","832.134","173.223","80.2286","765.221","52.9864","428.651","476.957","-59.9803","847.017","641.414","-64.1522","1552.03","410.104","142.048","85.2204","421.885","46.6986","1296.4","482.956","24.3136","424.042","465.018","26.3052","940.493","763.716","-49.1506","1006.19"
18,0,"799.81","87.0025","1349.88","370.056","163.621","962.505","836.469","202.109","986.795","637.608","-23.7692","1238.84","832.139","173.222","80.2277","765.227","53.0494","428.677","476.84","-59.7569","847.057","641.565","-64.0764","1552","410.086","142.067","85.228","421.821","46.7741","1296.41","482.925","24.3509","424.071","464.975","26.4819","940.503","763.693","-49.1166","1006.3"
19,0,"799.762","87.0083","1349.94","370.028","163.748","962.573","836.5","202.116","986.862","637.543","-23.7092","1238.86","832.141","173.225","80.2411","765.519","52.8746","428.821","476.714","-59.504","847.108","641.698","-63.9989","1551.96","410.073","142.055","85.2371","421.795","46.8473","1296.43","482.884","24.4042","424.074","464.939","26.6634","940.524","763.64","-49.0786","1006.37"
20,0,"799.706","87.022","1349.99","369.98","163.854","962.619","836.527","202.142","986.919","637.495","-23.6643","1238.88","832.14","173.239","80.2488","765.539","52.9167","428.862","476.745","-59.4114","847.023","641.805","-63.9374","1551.94","410.056","142.089","85.2331","421.749","46.9086","1296.46","482.881","24.4594","424.115","464.922","26.8087","940.531","763.608","-49.0389","1006.46"
21,0,"799.666","87.0373","1350.05","369.936","163.97","962.663","836.56","202.154","986.987","637.464","-23.6384","1238.93","832.137","173.24","80.2592","765.587","52.9693","428.877","476.587","-59.0826","847.088","641.879","-63.8791","1551.92","410.053","142.072","85.2496","421.712","46.992","1296.5","482.857","24.5255","424.117","464.912","26.9433","940.54","763.565","-49.0014","1006.52"
22,0,"799.634","87.0538","1350.1","369.89","164.064","962.703","836.602","202.18","987.05","637.423","-23.6104","1238.98","832.147","173.235","80.2634","765.61","53.007","428.915","476.603","-58.9716","847.019","641.928","-63.8279","1551.9","410.051","142.102","85.2417","421.683","47.0597","1296.55","482.854","24.5989","424.115","464.901","27.0752","940.551","763.52","-48.9559","1006.59"
23,0,"799.587","87.0842","1350.15","369.837","164.153","962.749","836.644","202.188","987.112","637.394","-23.5864","1239.04","832.14","173.247","80.2667","765.636","53.066","428.941","476.391","-58.7468","847.17","641.952","-63.7773","1551.89","410.044","142.106","85.2413","421.662","47.1237","1296.58","482.885","24.6766","424.144","464.898","27.2025","940.564","763.495","-48.8999","1006.66"
24,0,"799.548","87.1174","1350.19","369.78","164.247","962.791","836.676","202.204","987.172","637.355","-23.5552","1239.07","832.138","173.259","80.2549","765.658","53.1227","428.953","476.388","-58.5752","847.104","641.948","-63.7266","1551.87","410.051","142.129","85.2193","421.651","47.1787","1296.61","482.912","24.7553","424.159","464.897","27.3188","940.563","763.448","-48.8348","1006.71"
25,0,"799.525","87.1417","1350.23","369.748","164.332","962.824","836.718","202.254","987.184","637.333","-23.5235","1239.11","832.145","173.265","80.2477","765.657","53.2049","428.948","476.942","-58.9377","846.601","641.93","-63.6894","1551.85","410.05","142.114","85.2081","421.632","47.2408","1296.65","482.894","24.8464","424.151","464.907","27.465","940.578","763.445","-48.7593","1006.77"
26,0,"799.513","87.1769","1350.26","369.728","164.432","962.86","836.764","202.261","987.223","637.325","-23.5075","1239.17","832.149","173.277","80.2414","765.691","53.2682","428.973","476.929","-58.7821","846.576","641.885","-63.6524","1551.83","410.047","142.139","85.1767","421.627","47.2876","1296.67","482.848","24.9353","424.146","464.911","27.569","940.593","763.411","-48.6857","1006.81"
27,0,"799.503","87.2088","1350.28","369.719","164.539","962.907","836.811","202.301","987.256","637.315","-23.4677","1239.2","832.152","173.293","80.2211","765.765","53.3185","429.02","476.916","-58.6437","846.527","641.826","-63.614","1551.81","410.049","142.152","85.1533","421.63","47.3345","1296.7","482.79","25.0565","424.11","464.952","27.6876","940.611","763.402","-48.6048","1006.85"
28,0,"799.507","87.2418","1350.3","369.724","164.648","962.983","836.864","202.346","987.276","637.321","-23.4282","1239.23","832.153","173.289","80.223","765.765","53.431","429.003","476.906","-58.4985","846.5","641.762","-63.5737","1551.79","410.051","142.139","85.1511","421.629","47.3798","1296.73","482.795","25.2277","424.112","464.984","27.7997","940.635","763.378","-48.5274","1006.89"
29,0,"799.5","87.2825","1350.31","369.716","164.747","963.036","836.915","202.401","987.299","637.321","-23.3882","1239.24","832.155","173.3","80.2079","765.794","53.5183","429.019","476.908","-58.3589","846.484","641.69","-63.5435","1551.79","410.045","142.154","85.1411","421.621","47.4348","1296.77","482.785","25.3392","424.132","465.019","27.8927","940.664","763.382","-48.4507","1006.93"
30,0,"799.515","87.3129","1350.34","369.727","164.848","963.117","836.971","202.469","987.31","637.338","-23.3545","1239.27","832.158","173.306","80.1875","765.83","53.5975","429.022","476.905","-58.2086","846.467","641.603","-63.5075","1551.78","410.043","142.185","85.1325","421.608","47.4733","1296.82","482.812","25.4327","424.189","465.055","27.9926","940.688","763.396","-48.3812","1006.99"
31,0,"799.514","87.3508","1350.36","369.711","164.933","963.162","837.021","202.518","987.358","637.349","-23.3226","1239.29","832.151","173.305","80.1885","765.862","53.6812","429.032","476.906","-58.0551","846.48","641.518","-63.4748","1551.79","410.034","142.243","85.1092","421.604","47.5246","1296.86","482.797","25.5782","424.166","465.089","28.099","940.709","763.415","-48.3083","1007.06"
32,0,"799.524","87.4016","1350.4","369.695","165.018","963.211","837.076","202.572","987.413","637.352","-23.2844","1239.31","832.147","173.316","80.1979","765.858","53.7769","429.054","476.917","-57.9213","846.495","641.417","-63.4377","1551.8","410.031","142.264","85.1247","421.623","47.5651","1296.89","482.83","25.6861","424.217","465.125","28.1964","940.74","763.418","-48.2334","1007.12"
33,0,"799.541","87.4439","1350.45","369.663","165.105","963.277","837.131","202.635","987.474","637.361","-23.2362","1239.34","832.135","173.334","80.1862","765.887","53.8431","429.078","476.923","-57.7699","846.516","641.306","-63.4033","1551.82","410.031","142.285","85.137","421.622","47.6116","1296.93","482.869","25.806","424.249","465.161","28.2952","940.766","763.445","-48.15","1007.21"
34,0,"799.562","87.4861","1350.51","369.645","165.184","963.322","837.184","202.716","987.541","637.373","-23.2021","1239.37","832.124","173.35","80.2047","765.916","53.9207","429.099","476.953","-57.6521","846.541","641.186","-63.37","1551.83","410.037","142.285","85.1594","421.643","47.6421","1296.95","482.875","25.9048","424.267","465.205","28.3909","940.788","763.467","-48.0729","1007.28"
35,0,"799.576","87.5432","1350.55","369.613","165.249","963.356","837.244","202.797","987.613","637.377","-23.1717","1239.4","832.114","173.376","80.2124","765.904","54.0028","429.114","476.989","-57.5396","846.57","641.068","-63.3352","1551.85","410.051","142.337","85.1474","421.675","47.6851","1296.97","482.919","25.9857","424.323","465.236","28.4851","940.811","763.482","-47.9921","1007.33"
36,0,"799.597","87.588","1350.59","369.597","165.314","963.381","837.295","202.877","987.662","637.404","-23.1475","1239.42","832.123","173.375","80.2164","765.901","54.0827","429.127","477.038","-57.4504","846.589","640.941","-63.2964","1551.86","410.056","142.328","85.1529","421.724","47.7179","1296.97","482.931","26.0631","424.325","465.266","28.5671","940.828","763.514","-47.9035","1007.39"
37,0,"799.62","87.6447","1350.62","369.578","165.365","963.37","837.352","202.965","987.708","637.444","-23.1228","1239.45","832.14","173.38","80.1976","765.874","54.1855","429.11","477.08","-57.3636","846.596","640.826","-63.2703","1551.87","410.081","142.356","85.1256","421.742","47.7554","1296.99","482.992","26.1226","424.371","465.305","28.6424","940.838","763.537","-47.8125","1007.45"
38,0,"799.647","87.7086","1350.65","369.571","165.427","963.379","837.42","203.048","987.748","637.472","-23.0821","1239.46","832.156","173.387","80.1864","765.873","54.2861","429.101","477.115","-57.2843","846.601","640.716","-63.2436","1551.88","410.093","142.364","85.1055","421.786","47.8081","1296.99","483.014","26.1712","424.383","465.342","28.7244","940.844","763.567","-47.7258","1007.51"
39,0,"799.676","87.7631","1350.68","369.57","165.472","963.377","837.5","203.116","987.802","637.494","-23.0518","1239.49","832.155","173.41","80.1604","765.838","54.39","429.102","477.147","-57.2207","846.589","640.609","-63.2178","1551.88","410.104","142.371","85.0905","421.814","47.8396","1297","483.011","26.2086","424.362","465.382","28.7977","940.841","763.591","-47.6311","1007.54"
40,0,"799.697","87.8318","1350.71","369.568","165.498","963.383","837.578","203.188","987.835","637.529","-23.013","1239.52","832.154","173.415","80.151","765.841","54.4644","429.107","477.188","-57.1691","846.586","640.509","-63.1993","1551.86","410.112","142.34","85.0911","421.839","47.8982","1297","482.972","26.2754","424.277","465.43","28.8627","940.866","763.639","-47.5422","1007.62"
41,0,"799.723","87.9032","1350.75","369.569","165.514","963.387","837.664","203.265","987.87","637.566","-22.9778","1239.55","832.145","173.415","80.152","765.871","54.5204","429.132","477.23","-57.1206","846.584","640.403","-63.1784","1551.84","410.111","142.312","85.1036","421.868","47.9663","1297.01","482.977","26.3104","424.27","465.495","28.9414","940.885","763.691","-47.449","1007.69"
42,0,"799.743","87.9693","1350.8","369.579","165.536","963.404","837.772","203.3","987.941","637.584","-22.9397","1239.59","832.122","173.417","80.1517","765.875","54.5669","429.158","477.291","-57.0832","846.591","640.3","-63.16","1551.82","410.104","142.312","85.1036","421.891","48.0314","1297.02","482.98","26.3465","424.269","465.554","29.0069","940.91","763.749","-47.3677","1007.79"
43,0,"799.765","88.0521","1350.86","369.617","165.575","963.443","837.89","203.35","988.006","637.609","-22.9041","1239.64","832.101","173.425","80.1606","765.813","54.6574","429.14","477.343","-57.0377","846.602","640.202","-63.1386","1551.79","410.1","142.327","85.1126","421.919","48.0994","1297.04","482.994","26.3637","424.29","465.615","29.0766","940.94","763.802","-47.294","1007.88"
44,0,"799.799","88.1298","1350.94","369.631","165.609","963.462","837.988","203.382","988.064","637.635","-22.8636","1239.69","832.075","173.434","80.1683","765.854","54.6611","429.163","477.401","-56.9892","846.62","640.101","-63.1231","1551.75","410.091","142.333","85.1294","421.938","48.1819","1297.07","482.985","26.3641","424.315","465.673","29.1783","940.978","763.866","-47.2229","1007.97"
45,0,"799.814","88.2074","1351.01","369.653","165.641","963.475","838.09","203.412","988.142","637.648","-22.8168","1239.75","832.073","173.433","80.167","765.843","54.6933","429.167","477.452","-56.9294","846.634","639.989","-63.084","1551.69","410.08","142.341","85.139","421.957","48.2708","1297.08","482.992","26.3622","424.344","465.723","29.2563","941.02","763.916","-47.1569","1008.06"
46,0,"799.826","88.2931","1351.06","369.696","165.682","963.475","838.195","203.443","988.205","637.671","-22.7769","1239.82","832.072","173.438","80.186","765.863","54.7004","429.177","477.51","-56.8789","846.651","639.877","-63.0517","1551.66","410.088","142.334","85.1633","421.971","48.3613","1297.1","483.001","26.3531","424.371","465.79","29.3656","941.077","763.967","-47.095","1008.13"
47,0,"799.842","88.3726","1351.11","369.734","165.724","963.466","838.303","203.463","988.266","637.687","-22.7261","1239.88","832.084","173.455","80.1653","765.895","54.7064","429.171","477.569","-56.8269","846.655","639.759","-63.013","1551.62","410.109","142.386","85.132","422.01","48.4613","1297.11","482.995","26.3286","424.39","465.84","29.4525","941.106","764.006","-47.0385","1008.2"
48,0,"799.866","88.4499","1351.16","369.782","165.79","963.443","838.403","203.485","988.305","637.707","-22.6889","1239.94","832.112","173.451","80.1505","765.944","54.6969","429.147","477.634","-56.7895","846.68","639.666","-62.971","1551.59","410.125","142.41","85.1136","422.026","48.5554","1297.12","483.006","26.3006","424.405","465.889","29.5473","941.15","764.071","-46.9878","1008.27"
49,0,"799.879","88.531","1351.18","369.833","165.83","963.426","838.512","203.506","988.335","637.725","-22.6415","1239.99","832.117","173.462","80.1299","766.011","54.6564","429.178","477.692","-56.7467","846.702","639.575","-62.9295","1551.56","410.142","142.427","85.0913","422.034","48.676","1297.13","483.018","26.265","424.411","465.936","29.6311","941.186","764.119","-46.9409","1008.32"
50,0,"799.894","88.5882","1351.21","369.873","165.887","963.398","838.627","203.531","988.354","637.744","-22.5966","1240.03","832.146","173.447","80.109","766.116","54.6009","429.186","477.77","-56.7146","846.723","639.492","-62.8737","1551.54","410.165","142.42","85.0763","422.054","48.7824","1297.13","482.996","26.2074","424.403","465.994","29.702","941.203","764.18","-46.8905","1008.39"
51,0,"799.909","88.6517","1351.23","369.922","165.94","963.363","838.743","203.544","988.374","637.749","-22.5595","1240.06","832.166","173.438","80.0924","766.1","54.6158","429.151","477.846","-56.6974","846.745","639.411","-62.8156","1551.52","410.175","142.386","85.0782","422.052","48.8993","1297.12","483.027","26.2178","424.381","466.059","29.7585","941.223","764.245","-46.85","1008.45"
52,0,"799.921","88.7072","1351.26","369.956","165.965","963.338","838.864","203.561","988.393","637.761","-22.5258","1240.11","832.169","173.441","80.0764","766.174","54.5692","429.164","477.926","-56.6823","846.771","639.334","-62.7403","1551.51","410.173","142.331","85.1027","422.056","49.0124","1297.12","483.026","26.1953","424.389","466.104","29.8539","941.23","764.309","-46.8052","1008.51"
53,0,"799.942","88.7589","1351.29","369.968","165.983","963.301","838.981","203.571","988.424","637.771","-22.5031","1240.14","832.182","173.421","80.0696","766.19","54.566","429.151","477.991","-56.643","846.784","639.26","-62.6606","1551.51","410.174","142.384","85.0764","422.068","49.1139","1297.12","482.992","26.1545","424.377","466.145","29.9272","941.24","764.373","-46.768","1008.57"
54,0,"799.947","88.7954","1351.32","369.965","166.009","963.269","839.087","203.589","988.449","637.772","-22.4796","1240.17","832.187","173.413","80.0617","766.248","54.5275","429.161","478.049","-56.6221","846.804","639.187","-62.5676","1551.51","410.171","142.373","85.0878","422.08","49.2131","1297.13","483.08","26.1543","424.429","466.187","30.0078","941.244","764.446","-46.7304","1008.64"
55,0,"799.963","88.8357","1351.35","369.997","166.049","963.25","839.184","203.651","988.433","637.762","-22.435","1240.2","832.189","173.408","80.0665","766.293","54.5241","429.155","478.11","-56.5976","846.83","639.116","-62.4617","1551.5","410.172","142.392","85.0941","422.083","49.3209","1297.14","483.091","26.1241","424.444","466.213","30.063","941.251","764.527","-46.6905","1008.71"
56,0,"799.966","88.8624","1351.4","370.031","166.091","963.244","839.296","203.644","988.491","637.752","-22.3862","1240.23","832.196","173.409","80.0655","766.316","54.495","429.173","478.175","-56.5799","846.871","639.039","-62.3526","1551.5","410.176","142.399","85.1059","422.079","49.4144","1297.15","483.114","26.1096","424.447","466.244","30.1255","941.272","nan","nan","nan"
57,0,"799.967","88.8988","1351.44","370.068","166.132","963.23","839.388","203.656","988.521","637.756","-22.3231","1240.26","832.198","173.412","80.0607","766.353","54.4718","429.177","478.218","-56.5571","846.896","638.977","-62.2442","1551.52","410.184","142.399","85.1177","422.076","49.4964","1297.16","483.139","26.1002","424.468","466.265","30.172","941.279","nan","nan","nan"
58,0,"799.968","88.9432","1351.48","370.097","166.184","963.221","839.474","203.672","988.558","637.743","-22.2809","1240.3","832.21","173.408","80.0507","766.348","54.472","429.168","478.248","-56.5228","846.921","638.905","-62.1298","1551.56","410.191","142.394","85.1196","422.072","49.5876","1297.17","483.148","26.0758","424.488","466.296","30.2467","941.298","764.707","-46.5967","1008.87"
59,0,"799.968","88.9935","1351.52","370.124","166.232","963.212","839.562","203.678","988.602","637.723","-22.2552","1240.34","832.212","173.419","80.0365","766.358","54.4617","429.175","478.268","-56.4901","846.953","638.834","-62.0146","1551.6","410.207","142.406","85.109","422.073","49.6769","1297.17","483.145","26.0322","424.497","466.328","30.3018","941.322","nan","nan","nan"
60,0,"799.957","89.032","1351.55","370.151","166.276","963.196","839.649","203.686","988.648","637.709","-22.2554","1240.38","832.221","173.426","80.0213","766.34","54.4612","429.171","478.281","-56.4574","846.976","638.771","-61.9061","1551.64","410.219","142.332","85.1537","422.083","49.7526","1297.17","483.17","26.0106","424.512","466.344","30.3537","941.347","764.767","-46.5434","1008.95"
