Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (577)",,,"Reconstruction Position - Unlabeled Track (594)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (612)",,,"Reconstruction Position - Unlabeled Track (615)",,,"Reconstruction Position - Unlabeled Track (616)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"601.896","-15.706","1565.53","805.317","93.8263","1336.79","379.05","209.226","969.473","839.371","226.313","991.051","625.52","8.24448","1230.86","490.255","74.515","422.456","819.176","180.546","79.8918","752.007","68.1721","430.984","745.532","-14.1433","1021.01","422.276","83.4001","1315.22","467.128","-12.5925","835.588","465.854","54.992","931.476","771.452","76.2981","943.778","424.526","201.375","97.1482"
2,0,"601.938","-15.687","1565.5","805.31","94.0142","1336.77","378.974","209.173","969.497","839.305","226.483","991.05","625.553","8.36268","1230.82","490.262","74.5288","422.452","819.173","180.56","79.8912","752.012","68.221","431","745.553","-13.98","1020.99","422.272","83.3627","1315.23","467.153","-12.5948","835.582","465.862","54.9785","931.475","771.442","76.4048","943.789","424.527","201.387","97.1264"
3,0,"601.986","-15.6564","1565.45","805.291","94.1875","1336.75","378.895","209.117","969.504","839.22","226.693","991.011","625.58","8.46337","1230.81","490.265","74.5434","422.472","819.165","180.573","79.8728","752.011","68.2606","431.021","745.576","-13.8233","1021","422.251","83.3271","1315.23","467.185","-12.6015","835.595","465.877","54.962","931.48","771.453","76.492","943.815","424.5","201.378","97.138"
4,0,"602.037","-15.6313","1565.42","805.271","94.3813","1336.73","378.799","209.06","969.494","839.146","226.837","991.032","625.595","8.55109","1230.81","490.261","74.5422","422.472","819.151","180.588","79.87","751.998","68.3013","431.02","745.6","-13.6715","1020.99","422.243","83.2918","1315.23","467.217","-12.6134","835.597","465.882","54.9536","931.487","771.45","76.5889","943.836","424.501","201.383","97.1269"
5,0,"602.088","-15.6","1565.38","805.288","94.583","1336.74","378.724","209.013","969.493","839.053","227.043","990.979","625.611","8.63365","1230.81","490.269","74.5775","422.479","819.15","180.582","79.8757","751.981","68.3529","431.003","745.63","-13.5284","1021","422.221","83.2661","1315.23","467.255","-12.6255","835.605","465.887","54.9539","931.483","771.452","76.6822","943.833","424.514","201.397","97.1017"
6,0,"602.145","-15.5674","1565.35","805.26","94.7866","1336.71","378.659","208.973","969.488","838.969","227.213","990.975","625.621","8.71912","1230.8","490.274","74.5884","422.473","819.154","180.577","79.8709","751.978","68.4012","430.989","745.677","-13.4047","1021","422.201","83.2457","1315.22","467.291","-12.6414","835.616","465.884","54.9472","931.482","771.453","76.7755","943.839","424.492","201.393","97.1052"
7,0,"602.198","-15.529","1565.33","805.262","94.9712","1336.71","378.591","208.925","969.482","838.875","227.412","990.94","625.65","8.79864","1230.79","490.268","74.6218","422.466","819.142","180.604","79.8569","751.972","68.4614","430.99","745.735","-13.2924","1021.02","422.196","83.2252","1315.22","467.331","-12.6522","835.639","465.876","54.9428","931.485","771.454","76.8819","943.836","424.493","201.401","97.1028"
8,0,"602.242","-15.4874","1565.31","805.267","95.1638","1336.72","378.525","208.882","969.463","838.794","227.588","990.939","625.691","8.88856","1230.78","490.272","74.6516","422.461","819.149","180.594","79.8662","751.976","68.495","430.992","745.799","-13.1788","1021.03","422.178","83.2122","1315.21","467.386","-12.6768","835.641","465.86","54.9191","931.481","771.439","76.9741","943.84","424.479","201.394","97.0965"
9,0,"602.284","-15.4457","1565.29","805.279","95.384","1336.73","378.489","208.846","969.458","838.687","227.775","990.888","625.744","8.98993","1230.77","490.277","74.6519","422.449","819.152","180.609","79.8682","751.974","68.5417","431.001","745.868","-13.0717","1021.05","422.168","83.2037","1315.2","467.443","-12.707","835.645","465.855","54.9122","931.475","771.424","77.0866","943.834","424.459","201.385","97.1011"
10,0,"602.312","-15.3953","1565.28","805.262","95.5836","1336.73","378.407","208.783","969.424","838.601","227.915","990.897","625.802","9.08558","1230.78","490.3","74.6725","422.446","819.154","180.615","79.8658","751.981","68.5826","431.021","745.927","-12.9537","1021.06","422.158","83.2036","1315.18","467.49","-12.7315","835.641","465.846","54.8835","931.47","771.396","77.2125","943.832","424.431","201.38","97.111"
11,0,"602.349","-15.3363","1565.28","805.229","95.7634","1336.71","378.36","208.728","969.378","838.507","228.087","990.865","625.852","9.18596","1230.79","490.295","74.6973","422.432","819.151","180.611","79.871","751.986","68.6111","431.034","745.967","-12.8398","1021.07","422.137","83.196","1315.17","467.524","-12.7637","835.637","465.844","54.8616","931.46","771.367","77.3321","943.843","424.428","201.374","97.1011"
12,0,"602.39","-15.2773","1565.28","805.226","95.9925","1336.72","378.319","208.678","969.377","838.421","228.232","990.841","625.891","9.27089","1230.8","490.309","74.7314","422.446","819.149","180.605","79.8672","751.981","68.6394","431.048","745.996","-12.7126","1021.09","422.116","83.2004","1315.16","467.559","-12.7991","835.638","465.824","54.8331","931.46","771.348","77.4617","943.847","424.418","201.366","97.0952"
