Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (621)",,,"Reconstruction Position - Unlabeled Track (623)",,,"Reconstruction Position - Unlabeled Track (626)",,,"Reconstruction Position - Unlabeled Track (627)",,,"Reconstruction Position - Unlabeled Track (631)",,,"Reconstruction Position - Unlabeled Track (633)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
14,0,"800.589","96.1371","1347.48","333.701","154.188","976.079","834.692","218","1007.24","633.034","-18.8578","1238.48","499.113","53.5568","421.437","810.991","189.497","80.7051","757.231","67.4833","430.453","460.407","-77.4059","880.679","421.251","70.4447","1305.51","625.232","-45.0367","1565.16","762.458","-32.6127","1037.34","774.647","60.328","945.314","nan","nan","nan","472.703","14.7627","928.282"
15,0,"800.551","96.1886","1347.52","333.646","154.297","976.126","834.778","217.927","1007.26","632.954","-18.7657","1238.59","499.011","53.5606","421.434","810.995","189.495","80.7099","757.218","67.4994","430.453","460.276","-77.3548","880.793","421.215","70.668","1305.57","625.214","-44.834","1565.2","762.351","-32.6131","1037.47","774.629","60.3608","945.34","nan","nan","nan","472.673","14.846","928.366"
16,0,"800.527","96.2611","1347.56","333.589","154.409","976.136","834.869","217.84","1007.26","632.865","-18.6727","1238.69","498.982","53.5951","421.447","810.999","189.505","80.707","757.223","67.5007","430.458","460.157","-77.3151","880.905","421.165","70.8893","1305.65","625.184","-44.6282","1565.22","762.238","-32.6123","1037.58","774.608","60.4099","945.338","nan","nan","nan","472.652","14.9351","928.418"
17,0,"800.485","96.3278","1347.58","333.56","154.515","976.17","834.953","217.769","1007.26","632.785","-18.5812","1238.79","498.919","53.5544","421.479","810.987","189.51","80.7092","757.218","67.496","430.461","460.029","-77.28","881.024","421.126","71.1185","1305.7","625.159","-44.4277","1565.24","762.123","-32.6172","1037.69","774.593","60.4509","945.329","nan","nan","nan","472.629","15.0132","928.475"
18,0,"800.468","96.4088","1347.63","333.513","154.623","976.191","835.023","217.674","1007.26","632.713","-18.4979","1238.88","498.908","53.538","421.489","810.989","189.52","80.7036","757.222","67.4851","430.48","459.92","-77.2761","881.141","421.098","71.347","1305.77","625.127","-44.2273","1565.25","762.027","-32.6134","1037.81","774.577","60.4938","945.31","nan","nan","nan","472.614","15.1065","928.521"
19,0,"800.431","96.4965","1347.64","333.477","154.716","976.192","835.092","217.598","1007.25","632.65","-18.424","1238.97","498.92","53.5312","421.5","810.984","189.511","80.6962","757.203","67.4796","430.477","459.813","-77.2754","881.266","421.054","71.5804","1305.81","625.092","-44.0365","1565.25","761.964","-32.6226","1037.94","774.573","60.5363","945.288","430.821","181.747","97.2388","472.596","15.2065","928.567"
20,0,"800.378","96.5769","1347.65","333.443","154.798","976.216","835.153","217.515","1007.23","632.583","-18.3426","1239.05","498.927","53.5132","421.518","810.983","189.527","80.6911","757.203","67.4738","430.462","459.72","-77.2607","881.409","421","71.7852","1305.85","625.065","-43.8451","1565.24","761.91","-32.6429","1038.06","774.573","60.5716","945.274","nan","nan","nan","472.579","15.3232","928.618"
21,0,"800.362","96.6612","1347.69","333.41","154.874","976.208","835.216","217.435","1007.23","632.509","-18.2406","1239.13","498.922","53.5065","421.518","810.977","189.504","80.6887","757.22","67.4371","430.491","459.624","-77.2812","881.537","420.964","71.9897","1305.9","625.033","-43.6602","1565.23","761.848","-32.6526","1038.19","774.57","60.6049","945.256","430.831","181.74","97.2262","472.554","15.4388","928.645"
22,0,"800.353","96.7416","1347.74","333.357","154.943","976.214","835.276","217.357","1007.23","632.434","-18.1597","1239.2","498.932","53.5162","421.511","810.966","189.498","80.684","757.211","67.4278","430.487","459.548","-77.3003","881.66","420.913","72.1821","1305.92","625.009","-43.4778","1565.21","761.823","-32.6546","1038.33","774.576","60.6264","945.252","nan","nan","nan","472.522","15.5433","928.678"
23,0,"800.315","96.8037","1347.76","333.337","155.025","976.212","835.319","217.29","1007.23","632.368","-18.0788","1239.26","498.971","53.5686","421.521","810.96","189.492","80.6857","757.211","67.4198","430.479","459.448","-77.3184","881.809","420.875","72.3359","1305.96","624.986","-43.297","1565.18","761.768","-32.6647","1038.45","774.586","60.6604","945.24","nan","nan","nan","472.498","15.6672","928.693"
24,0,"800.27","96.8578","1347.78","333.277","155.062","976.205","835.361","217.22","1007.22","632.307","-17.9955","1239.31","499.002","53.5855","421.524","810.956","189.457","80.7123","757.224","67.4022","430.491","459.366","-77.3375","881.945","420.833","72.5065","1306","624.956","-43.1253","1565.15","761.733","-32.6737","1038.6","774.577","60.6871","945.214","nan","nan","nan","472.476","15.7678","928.712"
25,0,"800.227","96.9278","1347.79","333.23","155.102","976.208","835.411","217.158","1007.23","632.239","-17.9343","1239.36","499.009","53.588","421.543","810.963","189.456","80.7135","757.214","67.3813","430.506","459.285","-77.373","882.069","420.812","72.6792","1306.03","624.931","-42.961","1565.12","761.688","-32.6772","1038.74","774.587","60.7169","945.214","430.792","181.708","97.2418","472.459","15.8707","928.716"
26,0,"800.225","96.977","1347.84","333.214","155.132","976.19","835.466","217.101","1007.22","632.166","-17.8442","1239.4","499.03","53.6075","421.553","810.962","189.463","80.7096","757.255","67.3513","430.526","459.232","-77.4409","882.174","420.77","72.8587","1306.06","624.902","-42.7876","1565.1","761.656","-32.6798","1038.88","774.609","60.7494","945.217","nan","nan","nan","472.452","15.9494","928.724"
27,0,"800.151","97.0159","1347.83","333.164","155.143","976.174","835.521","217.047","1007.23","632.093","-17.7432","1239.43","499.065","53.6325","421.565","810.971","189.463","80.6967","757.273","67.3111","430.545","459.19","-77.5269","882.288","420.739","73.0326","1306.09","624.879","-42.6265","1565.08","761.601","-32.6661","1039.02","774.61","60.7921","945.21","nan","nan","nan","472.443","16.0335","928.734"
28,0,"800.143","97.0797","1347.87","333.146","155.174","976.155","835.578","216.995","1007.23","632.016","-17.6262","1239.45","499.052","53.6419","421.576","810.97","189.465","80.6871","757.27","67.3077","430.538","459.14","-77.6248","882.384","420.687","73.2084","1306.14","624.85","-42.4562","1565.06","761.546","-32.6657","1039.16","774.64","60.8242","945.232","nan","nan","nan","472.433","16.146","928.755"
29,0,"800.093","97.1424","1347.87","333.121","155.189","976.141","835.662","216.931","1007.24","631.954","-17.5122","1239.5","499.111","53.6932","421.598","810.98","189.49","80.6588","757.266","67.2925","430.533","459.119","-77.7217","882.468","420.645","73.3848","1306.17","624.828","-42.3045","1565.04","761.482","-32.6339","1039.29","774.651","60.8741","945.233","430.81","181.718","97.2119","472.44","16.2377","928.774"
30,0,"800.08","97.2137","1347.9","333.083","155.193","976.127","835.726","216.907","1007.22","631.887","-17.4202","1239.56","499.088","53.731","421.58","810.99","189.477","80.6566","757.284","67.2756","430.541","459.095","-77.7936","882.562","420.616","73.5623","1306.19","624.816","-42.1455","1565.03","761.411","-32.6178","1039.41","774.665","60.9126","945.236","nan","nan","nan","472.466","16.3514","928.775"
31,0,"800.045","97.2921","1347.9","333.024","155.188","976.086","835.81","216.871","1007.21","631.838","-17.346","1239.61","499.09","53.7821","421.565","810.997","189.484","80.6616","757.313","67.273","430.551","459.07","-77.8636","882.647","420.582","73.7287","1306.21","624.806","-41.9896","1565.01","761.353","-32.5936","1039.51","774.689","60.9576","945.224","nan","nan","nan","472.502","16.4404","928.789"
32,0,"800.019","97.3495","1347.91","332.973","155.193","976.083","835.894","216.833","1007.22","631.798","-17.288","1239.65","499.086","53.8592","421.515","811.013","189.477","80.6756","757.347","67.275","430.566","459.04","-77.9082","882.724","420.563","73.8736","1306.22","624.807","-41.8355","1564.99","761.316","-32.5734","1039.61","774.723","60.9953","945.215","nan","nan","nan","472.542","16.5295","928.79"
33,0,"800.015","97.4193","1347.93","332.923","155.179","976.078","835.964","216.809","1007.23","631.774","-17.2436","1239.72","499.099","53.882","421.522","811.006","189.484","80.671","757.36","67.29","430.568","459.025","-77.953","882.785","420.564","74.0235","1306.22","624.825","-41.6955","1564.99","761.262","-32.5519","1039.66","774.781","61.0193","945.202","nan","nan","nan","472.587","16.6146","928.788"
34,0,"800.02","97.4719","1347.97","332.858","155.179","976.065","836.03","216.795","1007.24","631.751","-17.1938","1239.77","499.097","53.936","421.51","811.013","189.491","80.6689","757.384","67.3093","430.586","458.994","-77.9963","882.847","420.547","74.1504","1306.23","624.847","-41.5524","1564.97","761.242","-32.5294","1039.73","774.834","61.0536","945.193","nan","nan","nan","472.645","16.6844","928.794"
