Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (758)",,,"Reconstruction Position - Unlabeled Track (759)",,,"Reconstruction Position - Unlabeled Track (761)",,,"Reconstruction Position - Unlabeled Track (762)",,,"Reconstruction Position - Unlabeled Track (763)",,,"Reconstruction Position - Unlabeled Track (764)",,,"Reconstruction Position - Unlabeled Track (765)",,,"Reconstruction Position - Unlabeled Track (767)",,,"Reconstruction Position - Unlabeled Track (768)",,,"Reconstruction Position - Unlabeled Track (769)",,,"Reconstruction Position - Unlabeled Track (770)",,,"Reconstruction Position - Unlabeled Track (774)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"764.196","93.4523","1350.04","793.072","200.588","985.044","392.941","55.4496","1294.62","313.656","122.535","955.731","810.188","183.236","81.0317","460.339","66.0957","419.984","430.168","-90.0177","861.935","379.074","180.723","86.082","587.69","-18.3477","1566.85","739.519","-51.0271","1050.57","725.141","52.7683","942.395","594.418","-11.3321","1235.59","726.63","78.5913","429.898","430.394","100.521","948.924"
2,0,"764.142","93.5023","1350.03","793.057","200.538","984.992","392.912","55.5373","1294.57","313.536","122.508","955.708","810.174","183.209","81.039","460.302","66.1273","419.978","430.319","-90.48","861.554","379.077","180.719","86.0719","587.554","-18.3176","1566.82","739.563","-51.0326","1050.31","725.112","52.73","942.367","594.366","-11.2704","1235.59","726.563","78.566","429.871","430.354","100.562","948.921"
3,0,"764.089","93.5467","1350.03","793.016","200.523","984.946","392.875","55.6002","1294.52","313.406","122.487","955.64","810.113","183.234","81.0535","460.254","66.1469","420.002","430.53","-90.8883","861.226","379.082","180.733","86.0747","587.408","-18.2739","1566.81","739.626","-51.0314","1050","725.067","52.6961","942.369","594.311","-11.2259","1235.61","726.514","78.5353","429.857","430.311","100.578","948.935"
4,0,"764.036","93.5888","1350.04","792.955","200.531","984.919","392.838","55.6573","1294.46","313.273","122.496","955.577","810.094","183.225","81.0648","460.22","66.1791","420.019","430.779","-91.2906","860.958","379.087","180.74","86.0745","587.262","-18.2207","1566.8","739.698","-50.9974","1049.67","725.033","52.6625","942.368","594.255","-11.1799","1235.63","726.472","78.5161","429.858","430.278","100.597","948.949"
5,0,"763.986","93.6406","1350.05","792.88","200.562","984.902","392.798","55.7122","1294.39","313.143","122.541","955.526","810.096","183.219","81.0656","460.192","66.2259","420.027","431.027","-91.644","860.751","379.092","180.755","86.0722","587.127","-18.1747","1566.8","739.813","-50.9558","1049.37","724.981","52.6213","942.401","594.208","-11.1434","1235.65","726.434","78.5092","429.87","430.239","100.62","948.965"
6,0,"763.921","93.6842","1350.06","792.776","200.623","984.891","392.734","55.7466","1294.31","313.049","122.626","955.465","810.075","183.222","81.0714","460.175","66.2689","420.048","431.257","-91.9171","860.657","379.097","180.776","86.0708","586.987","-18.121","1566.82","739.961","-50.8811","1049.07","724.945","52.595","942.428","594.161","-11.1073","1235.68","726.409","78.5102","429.884","430.207","100.638","948.979"
7,0,"763.869","93.7287","1350.07","792.676","200.72","984.9","392.695","55.7716","1294.23","312.983","122.742","955.407","810.074","183.225","81.0704","460.164","66.3307","420.053","431.486","-92.0893","860.602","379.095","180.769","86.0875","586.863","-18.0694","1566.83","740.126","-50.7799","1048.8","724.899","52.5673","942.459","594.122","-11.0867","1235.7","726.364","78.5293","429.874","430.172","100.639","948.995"
8,0,"763.817","93.7732","1350.1","792.551","200.835","984.896","392.659","55.7991","1294.15","312.893","122.869","955.321","810.079","183.202","81.0884","460.146","66.4081","420.044","431.482","-92.4439","860.92","379.095","180.765","86.104","586.742","-18.026","1566.85","740.303","-50.6781","1048.54","724.846","52.5466","942.488","594.083","-11.0772","1235.72","726.331","78.5667","429.869","430.13","100.619","949.013"
9,0,"763.781","93.7999","1350.11","792.424","200.977","984.9","392.611","55.8226","1294.08","312.83","123.014","955.255","810.081","183.189","81.1097","460.143","66.5002","420.036","431.75","-92.3696","860.94","379.096","180.755","86.1244","586.627","-17.9858","1566.88","740.526","-50.6024","1048.26","724.789","52.5305","942.524","594.063","-11.0755","1235.72","726.294","78.6072","429.853","430.096","100.594","949.013"
10,0,"763.754","93.8219","1350.12","792.303","201.139","984.929","392.562","55.8373","1294.02","312.723","123.17","955.213","810.072","183.183","81.1317","460.101","66.5542","420.039","431.984","-92.3421","861.076","379.09","180.753","86.1469","586.525","-17.9522","1566.92","740.799","-50.5391","1047.94","724.736","52.5282","942.538","594.051","-11.0851","1235.69","726.252","78.6545","429.839","430.059","100.549","949.03"
11,0,"763.719","93.8403","1350.14","792.173","201.342","984.939","392.505","55.8554","1293.97","312.624","123.353","955.203","810.066","183.179","81.1374","460.086","66.5688","420.072","432.215","-92.2811","861.264","379.078","180.743","86.1616","586.432","-17.9177","1566.96","741.161","-50.4607","1047.61","724.701","52.518","942.575","594.037","-11.0946","1235.68","726.217","78.6993","429.818","430.037","100.488","949.035"
