Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (529)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (539)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (577)",,,"Reconstruction Position - Unlabeled Track (578)",,,"Reconstruction Position - Unlabeled Track (579)",,,"Reconstruction Position - Unlabeled Track (583)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
1,0,"617.052","-51.1604","1550.53","799.598","108.504","1351.38","338.201","177.632","978.764","824.851","232.627","1001.09","632.965","-5.02862","1238.39","422.743","71.2056","1311.77","480.386","72.9166","423.252","452.669","-57.6579","885.895","816.718","187.534","80.0993","750.291","78.3293","430.761","755.989","-15.751","1047.31","766.031","80.8936","944.288","469.514","22.6357","930.008","418.311","196.632","85.2623"
2,0,"617.066","-51.0674","1550.57","799.62","108.525","1351.4","338.177","177.632","978.771","824.873","232.669","1001.11","633.005","-5.01096","1238.4","422.766","71.2051","1311.79","480.373","72.9185","423.257","452.709","-57.6007","885.911","816.728","187.542","80.1027","750.186","78.6118","430.408","755.986","-15.7048","1047.37","765.943","80.9625","944.224","469.497","22.7093","930.038","418.31","196.634","85.2552"
3,0,"617.077","-50.9762","1550.59","799.635","108.553","1351.4","338.13","177.635","978.8","824.894","232.705","1001.12","633.027","-4.99962","1238.41","422.786","71.2189","1311.82","480.359","72.9298","423.269","452.741","-57.5516","885.923","816.729","187.548","80.0894","750.181","78.6409","430.378","755.968","-15.6619","1047.41","765.897","81.0296","944.202","469.486","22.787","930.057","418.311","196.655","85.2405"
4,0,"617.071","-50.886","1550.64","799.647","108.568","1351.43","338.101","177.643","978.837","824.918","232.728","1001.15","633.042","-4.97663","1238.43","422.788","71.2408","1311.85","480.386","72.9461","423.282","452.752","-57.4959","885.924","816.725","187.554","80.0792","750.218","78.3939","430.806","755.941","-15.6123","1047.44","765.853","81.0883","944.196","469.449","22.8857","930.062","418.313","196.64","85.243"
5,0,"617.07","-50.7969","1550.67","799.638","108.598","1351.45","338.073","177.667","978.896","824.944","232.765","1001.16","633.034","-4.94936","1238.44","422.791","71.2723","1311.89","480.358","72.9498","423.27","452.764","-57.4432","885.929","816.729","187.561","80.0784","750.207","78.3977","430.775","755.91","-15.5704","1047.45","765.832","81.1439","944.214","469.417","22.9437","930.074","418.314","196.652","85.2324"
6,0,"617.061","-50.7089","1550.7","799.633","108.635","1351.46","338.031","177.703","978.945","824.969","232.795","1001.18","633.03","-4.91821","1238.48","422.79","71.31","1311.93","480.332","72.964","423.257","452.753","-57.3768","885.934","816.731","187.56","80.0687","750.2","78.3819","430.806","755.875","-15.5257","1047.46","765.808","81.2004","944.215","469.39","22.9937","930.093","418.317","196.651","85.2203"
7,0,"617.047","-50.6144","1550.73","799.624","108.678","1351.48","337.991","177.731","978.986","825.001","232.818","1001.19","633.012","-4.89959","1238.53","422.778","71.3393","1311.99","480.329","72.9747","423.293","452.731","-57.3177","885.939","816.728","187.561","80.0709","750.215","78.3366","430.853","755.848","-15.4907","1047.47","765.772","81.2657","944.213","469.373","23.0195","930.114","418.323","196.667","85.2163"
8,0,"617.033","-50.519","1550.75","799.613","108.736","1351.5","337.939","177.752","979.034","825.043","232.823","1001.23","632.982","-4.88127","1238.61","422.759","71.3778","1312.05","480.293","72.9944","423.291","452.694","-57.265","885.949","816.729","187.578","80.0711","750.233","78.369","430.803","755.791","-15.4487","1047.49","765.829","81.3105","944.285","469.365","23.0509","930.126","418.328","196.671","85.2095"
9,0,"617.015","-50.4229","1550.78","799.596","108.807","1351.52","337.887","177.8","979.093","825.074","232.848","1001.23","632.96","-4.87244","1238.67","422.732","71.4101","1312.11","480.246","73.0127","423.336","452.65","-57.2038","885.968","816.73","187.585","80.0666","750.25","78.3205","430.862","755.756","-15.4071","1047.51","765.769","81.3668","944.252","469.371","23.0651","930.155","418.333","196.668","85.2222"
10,0,"616.992","-50.3218","1550.81","799.572","108.878","1351.53","337.817","177.849","979.146","825.122","232.848","1001.24","632.933","-4.85632","1238.74","422.705","71.4505","1312.16","480.188","73.0062","423.343","452.591","-57.1305","885.995","816.72","187.593","80.0721","750.248","78.3376","430.814","755.665","-15.3891","1047.56","765.777","81.402","944.279","469.374","23.0626","930.183","418.329","196.673","85.2256"
11,0,"616.972","-50.2091","1550.83","799.541","108.947","1351.54","337.745","177.884","979.203","825.14","232.868","1001.22","632.904","-4.82931","1238.8","422.674","71.4807","1312.22","480.123","73.0083","423.339","452.517","-57.072","886.03","816.718","187.603","80.0719","750.245","78.3132","430.829","755.611","-15.3617","1047.58","765.763","81.4243","944.286","469.379","23.0673","930.212","418.324","196.683","85.2173"
