Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (744)",,,"Reconstruction Position - Unlabeled Track (745)",,,"Reconstruction Position - Unlabeled Track (751)",,,"Reconstruction Position - Unlabeled Track (754)",,,"Reconstruction Position - Unlabeled Track (755)",,,"Reconstruction Position - Unlabeled Track (756)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
14,0,"458.724","1.18304","416.201","591.452","-81.9252","1556.65","856.252","131.669","83.2718","774.753","24.2215","1342.25","604.719","-64.1896","1224.44","807.871","129.192","976.2","360.113","120.34","89.005","347.399","119.737","943.272","764.262","-125.701","1025.4","757.515","16.4244","426.232","408.565","7.80149","1294.98","448.66","27.3888","947.347","423.902","-139.025","862.53","739.6","-24.798","944.306"
15,0,"458.877","1.03799","416.145","591.773","-81.2277","1556.91","856.267","131.634","83.2761","775.042","24.4366","1342.16","604.98","-63.9983","1224.47","808.073","129.152","976.095","360.173","120.334","89.0179","347.923","120.177","943.311","764.232","-125.672","1025.42","757.667","16.1799","426.24","408.787","8.12347","1294.99","448.836","27.1342","947.261","424.01","-138.665","862.379","739.814","-24.9312","944.334"
16,0,"459.007","0.941162","416.084","592.082","-80.55","1557.17","856.255","131.615","83.2917","775.343","24.6641","1342.09","605.202","-63.7811","1224.53","808.245","129.139","975.967","360.21","120.355","89.0503","348.377","120.603","943.37","764.165","-125.633","1025.45","757.753","16.0198","426.251","409.022","8.37191","1295.1","449.03","26.8934","947.185","424.124","-138.282","862.258","740.009","-25.0621","944.414"
17,0,"459.115","0.857947","416.046","592.409","-79.8968","1557.43","856.236","131.608","83.3161","775.611","24.9243","1342.02","605.403","-63.5845","1224.61","808.392","129.182","975.792","360.25","120.348","89.0591","348.817","121.017","943.444","764.105","-125.573","1025.49","757.83","15.8904","426.262","409.255","8.66","1295.2","449.229","26.7232","947.125","424.254","-137.918","862.176","740.179","-25.2002","944.512"
18,0,"459.167","0.758997","416.032","592.709","-79.2709","1557.67","856.216","131.591","83.3287","775.857","25.1973","1341.94","605.591","-63.408","1224.72","808.538","129.194","975.652","360.288","120.368","89.0915","349.178","121.391","943.535","764.04","-125.513","1025.51","757.886","15.8024","426.256","409.454","8.96256","1295.3","449.372","26.5201","947.115","424.395","-137.558","862.121","740.323","-25.3854","944.593"
19,0,"459.197","0.684484","416.02","593.036","-78.6566","1557.9","856.2","131.593","83.3477","776.116","25.4722","1341.86","605.764","-63.2254","1224.84","808.65","129.233","975.503","360.317","120.385","89.1214","349.489","121.784","943.677","763.961","-125.434","1025.58","757.903","15.7581","426.232","409.644","9.30984","1295.43","449.548","26.3841","947.074","424.52","-137.195","862.12","740.439","-25.5605","944.66"
20,0,"459.22","0.609476","416.003","593.364","-78.0709","1558.14","856.187","131.607","83.3421","776.403","25.7682","1341.79","605.927","-63.0433","1224.96","808.744","129.273","975.355","360.336","120.392","89.1583","349.763","122.168","943.822","763.881","-125.361","1025.62","757.914","15.7261","426.194","409.588","9.6969","1295.72","449.691","26.2666","947.06","424.652","-136.812","862.137","740.551","-25.7311","944.706"
21,0,"459.255","0.552126","415.988","593.683","-77.4956","1558.33","856.208","131.598","83.3454","776.629","26.0626","1341.71","606.084","-62.8611","1225.06","808.807","129.317","975.187","360.36","120.383","89.183","349.969","122.511","943.955","763.836","-125.298","1025.67","757.886","15.7061","426.148","409.752","10.0175","1295.87","449.874","26.2165","947","424.774","-136.458","862.147","740.64","-25.8772","944.738"
22,0,"459.268","0.444444","415.984","593.996","-76.947","1558.51","856.225","131.589","83.3284","776.881","26.3442","1341.63","606.265","-62.6737","1225.15","808.88","129.327","975.04","360.367","120.372","89.2063","350.12","122.849","944.11","763.809","-125.245","1025.73","757.82","15.7086","426.086","409.926","10.3209","1296.01","450.026","26.1622","946.933","424.889","-136.102","862.17","740.708","-25.9976","944.749"
23,0,"459.285","0.357793","415.95","594.328","-76.4071","1558.72","856.268","131.566","83.3056","777.166","26.6373","1341.57","606.437","-62.4931","1225.23","808.935","129.347","974.868","360.385","120.357","89.1963","350.221","123.171","944.275","763.793","-125.202","1025.81","757.761","15.718","426.016","410.036","10.6197","1296.14","450.132","26.0865","946.882","424.98","-135.731","862.199","740.775","-26.1108","944.75"
24,0,"459.286","0.284139","415.92","594.66","-75.8797","1558.9","856.323","131.532","83.2655","777.405","26.9281","1341.48","606.6","-62.326","1225.32","808.972","129.358","974.686","360.38","120.316","89.1708","350.277","123.486","944.444","763.766","-125.164","1025.91","757.713","15.7516","425.941","410.159","10.9011","1296.27","450.214","26.0007","946.827","425.072","-135.39","862.224","740.843","-26.1994","944.735"
25,0,"459.296","0.235405","415.874","594.996","-75.3742","1559.07","856.358","131.52","83.2502","777.635","27.1964","1341.39","606.751","-62.1535","1225.37","808.982","129.392","974.469","360.378","120.288","89.1598","350.297","123.779","944.643","763.769","-125.149","1026","757.708","15.7819","425.869","410.297","11.1711","1296.4","450.287","25.9591","946.782","425.159","-135.04","862.27","740.9","-26.2863","944.714"
26,0,"459.316","0.208516","415.831","595.318","-74.8791","1559.25","856.389","131.5","83.2374","777.873","27.4822","1341.3","606.913","-61.9823","1225.43","809.009","129.407","974.271","360.375","120.276","89.159","350.234","124.02","944.794","763.781","-125.132","1026.11","757.725","15.8211","425.808","410.437","11.4133","1296.51","450.336","25.882","946.761","425.253","-134.699","862.345","740.953","-26.3576","944.679"
27,0,"459.346","0.187784","415.805","595.651","-74.395","1559.43","856.381","131.54","83.2196","778.069","27.762","1341.19","607.073","-61.7977","1225.48","809.059","129.381","974.121","360.375","120.27","89.1525","350.19","124.261","944.961","763.796","-125.113","1026.25","757.731","15.8559","425.779","410.555","11.6713","1296.64","450.39","25.8412","946.731","425.335","-134.398","862.416","741","-26.4065","944.656"
28,0,"459.398","0.175736","415.788","595.988","-73.9331","1559.63","856.393","131.555","83.2118","778.287","28.0269","1341.1","607.223","-61.6031","1225.51","809.115","129.364","973.961","360.381","120.295","89.1429","350.108","124.486","945.129","763.806","-125.101","1026.38","757.73","15.8702","425.77","410.682","11.9163","1296.78","450.448","25.8258","946.709","425.383","-134.085","862.516","741.042","-26.4436","944.627"
