Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (714)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (739)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (741)",,,"Reconstruction Position - Unlabeled Track (742)",,,"Reconstruction Position - Unlabeled Track (743)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
187,0,"466.111","18.4968","441.183","544.889","-509.654","1400.88","603.244","-236.947","453.829","704.037","-157.593","78.8249","663.667","-415.691","1160.69","507.547","-301.698","1091.13","486.039","199.379","104.802","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
188,0,"467.398","20.6868","441.684","545.357","-513.976","1398.72","602.173","-237.684","453.617","703.911","-157.82","78.9941","663.806","-418.834","1158.19","507.502","-303.887","1089.99","490.471","203.169","106.403","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
189,0,"468.819","22.9752","442.153","545.779","-518.123","1396.68","601.412","-238.099","453.219","703.817","-158.046","79.1692","663.919","-421.861","1155.96","507.404","-305.918","1088.95","494.875","206.959","108.018","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
190,0,"470.457","25.41","442.748","546.153","-522.083","1394.74","599.717","-238.442","453.529","703.731","-158.259","79.3236","664.014","-424.778","1153.98","507.269","-307.861","1088.05","499.37","210.822","109.644","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
191,0,"472.155","28.0039","443.278","546.465","-525.826","1392.9","598.623","-238.863","453.444","703.66","-158.478","79.4642","664.055","-427.561","1152.2","507.053","-309.712","1087.27","503.841","214.638","111.277","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
192,0,"473.85","30.7526","443.723","546.773","-529.412","1391.19","597.235","-238.703","453.725","703.578","-158.686","79.5935","664.098","-430.228","1150.56","506.832","-311.4","1086.58","508.5","218.647","112.879","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
193,0,"475.626","33.6212","444.294","547.011","-532.773","1389.55","596.262","-238.996","453.663","703.495","-158.85","79.7167","664.159","-432.781","1149.1","506.619","-313.03","1085.97","513.134","222.587","114.451","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
194,0,"477.464","36.6403","444.993","547.173","-535.909","1388.01","595.392","-239.157","453.568","703.432","-158.991","79.8129","664.193","-435.235","1147.78","506.439","-314.682","1085.47","517.934","226.608","116.069","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
195,0,"479.273","39.7964","445.7","547.367","-538.903","1386.63","594.563","-239.237","453.452","703.385","-159.153","79.9256","664.295","-437.553","1146.63","506.274","-316.188","1084.99","522.721","230.493","117.755","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
196,0,"481.085","43.027","446.366","547.489","-541.644","1385.34","593.727","-239.208","453.415","703.347","-159.346","80.0378","664.363","-439.801","1145.59","506.117","-317.706","1084.55","527.75","234.487","119.43","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
197,0,"482.874","46.3567","447.154","547.595","-544.204","1384.13","592.919","-239.22","453.431","703.303","-159.55","80.1712","664.414","-441.907","1144.65","505.973","-319.158","1084.13","532.887","238.539","121.166","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
198,0,"484.649","49.7325","447.932","547.722","-546.587","1383.05","592.1","-239.057","453.444","703.267","-159.738","80.3167","664.419","-443.912","1143.8","505.85","-320.519","1083.72","538.055","242.501","122.939","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
199,0,"486.922","52.9953","448.309","547.805","-548.793","1382.04","591.399","-238.911","453.448","703.232","-159.901","80.4538","664.312","-445.787","1143.04","505.753","-321.815","1083.33","543.356","246.531","124.744","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
200,0,"488.862","56.4181","449.149","547.883","-550.785","1381.11","590.773","-238.683","453.419","703.199","-160.045","80.6114","664.133","-447.539","1142.41","505.705","-322.954","1082.98","548.698","250.599","126.58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
201,0,"491.063","59.7865","449.929","547.918","-552.559","1380.26","590.24","-238.468","453.405","703.18","-160.188","80.7661","663.849","-449.108","1141.87","505.753","-324.019","1082.66","554.006","254.565","128.378","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
202,0,"493.911","62.8025","449.821","547.946","-554.223","1379.49","589.714","-238.197","453.427","703.158","-160.313","80.9257","663.502","-450.523","1141.38","505.737","-324.926","1082.41","559.265","258.427","130.18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
203,0,"496.105","66.1814","450.637","547.99","-555.667","1378.81","589.188","-237.952","453.536","703.153","-160.455","81.0996","663.159","-451.725","1140.92","505.765","-325.725","1082.21","564.611","262.425","131.99","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
204,0,"498.422","69.5078","451.291","547.982","-556.951","1378.18","588.708","-237.702","453.632","703.161","-160.609","81.2743","662.859","-452.8","1140.43","505.805","-326.402","1082.04","569.587","266.131","133.696","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
205,0,"500.909","72.7091","451.799","547.989","-558.028","1377.64","588.205","-237.354","453.782","703.169","-160.792","81.4653","662.569","-453.759","1139.95","505.831","-326.932","1081.89","574.684","269.928","135.414","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
206,0,"503.198","75.9449","452.613","547.996","-558.889","1377.17","587.837","-237.095","453.899","703.187","-160.976","81.6284","662.376","-454.598","1139.53","505.819","-327.299","1081.75","579.642","273.699","137.153","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
207,0,"505.662","78.9407","453.177","548.007","-559.578","1376.76","587.478","-236.809","454.028","703.205","-161.165","81.7915","662.252","-455.332","1139.15","505.863","-327.6","1081.59","584.504","277.424","138.869","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
208,0,"507.969","81.9833","454.063","547.989","-560.089","1376.39","587.11","-236.517","454.114","703.249","-161.341","81.939","662.203","-455.968","1138.87","505.878","-327.788","1081.46","589.145","281.016","140.517","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
209,0,"510.131","84.947","454.975","547.955","-560.394","1376.08","586.74","-236.149","454.208","703.303","-161.561","82.0996","662.207","-456.455","1138.69","505.871","-327.84","1081.34","593.89","284.652","142.148","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
210,0,"512.232","87.9533","455.803","547.924","-560.536","1375.83","587.276","-235.234","453.608","703.358","-161.783","82.291","662.171","-456.79","1138.6","505.837","-327.761","1081.28","598.391","288.286","143.708","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
211,0,"514.146","91.1276","456.725","547.888","-560.482","1375.61","586.463","-235.076","453.938","703.412","-162.006","82.4729","662.133","-456.947","1138.58","505.766","-327.537","1081.23","602.999","291.884","145.317","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
212,0,"516.046","94.3212","457.529","547.844","-560.249","1375.46","585.973","-234.613","454.132","703.472","-162.203","82.6318","662.058","-456.928","1138.62","505.718","-327.203","1081.22","607.381","295.448","146.858","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
213,0,"517.842","97.515","458.157","547.766","-559.805","1375.37","585.625","-234.002","454.272","703.521","-162.38","82.7592","661.903","-456.744","1138.69","505.687","-326.766","1081.26","611.634","299.082","148.305","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
214,0,"519.529","100.819","458.793","547.663","-559.163","1375.36","585.376","-233.446","454.376","703.581","-162.537","82.8505","661.645","-456.397","1138.8","505.658","-326.149","1081.32","615.797","302.701","149.702","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
215,0,"521.086","104.219","459.427","547.565","-558.388","1375.43","585.219","-232.875","454.489","703.654","-162.649","82.8851","661.318","-455.934","1138.93","505.691","-325.427","1081.39","619.273","306.249","150.785","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
216,0,"522.74","107.385","459.654","547.413","-557.333","1375.52","585.152","-232.286","454.554","703.754","-162.766","82.9086","660.907","-455.357","1139.05","505.752","-324.549","1081.45","624.186","309.914","152.411","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
217,0,"524.097","110.724","460.073","547.304","-556.147","1375.68","585.08","-231.727","454.616","703.856","-162.886","82.9354","660.48","-454.687","1139.22","505.739","-323.537","1081.54","628.125","313.57","153.622","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
218,0,"525.38","114.01","460.376","547.21","-554.78","1375.9","585.067","-231.16","454.651","703.951","-163.013","82.941","659.982","-453.926","1139.45","505.733","-322.41","1081.65","631.876","317.068","154.785","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
219,0,"526.481","117.356","460.688","547.093","-553.172","1376.18","585.052","-230.563","454.737","704.051","-163.184","82.9913","659.503","-453.059","1139.75","505.61","-321.134","1081.78","635.44","320.447","155.822","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
220,0,"527.393","120.75","460.975","546.981","-551.357","1376.54","585.065","-230.003","454.873","704.135","-163.341","83.0172","658.954","-452.05","1140.08","505.445","-319.752","1081.97","639.024","323.884","156.834","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
221,0,"528.189","124.207","461.15","546.877","-549.374","1376.99","585.082","-229.342","454.986","704.2","-163.47","83.0527","658.463","-450.907","1140.43","505.319","-318.24","1082.19","642.388","327.217","157.78","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
222,0,"528.903","127.845","461.451","546.761","-547.193","1377.53","585.146","-228.724","455.183","704.257","-163.538","83.053","657.984","-449.595","1140.78","505.089","-316.56","1082.46","645.663","330.554","158.623","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
223,0,"529.652","131.344","461.475","546.623","-544.809","1378.15","585.295","-228.067","455.302","704.315","-163.539","83.0333","657.469","-448.129","1141.2","504.853","-314.738","1082.79","648.695","333.809","159.403","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
224,0,"530.392","134.873","461.602","546.452","-542.201","1378.83","585.522","-227.31","455.364","704.366","-163.521","82.9883","656.891","-446.472","1141.69","504.553","-312.767","1083.2","651.577","336.99","159.994","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
225,0,"530.95","138.458","461.835","546.314","-539.486","1379.68","585.786","-226.623","455.433","704.423","-163.484","82.9254","656.272","-444.671","1142.26","504.233","-310.595","1083.65","654.193","340.033","160.512","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
226,0,"532.422","142.62","461.932","546.096","-536.504","1380.57","586.095","-225.883","455.46","704.486","-163.457","82.8478","655.613","-442.69","1142.87","503.825","-308.24","1084.17","656.57","343.027","160.893","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
227,0,"532.569","145.812","462.003","545.849","-533.331","1381.56","586.413","-225.081","455.577","704.549","-163.408","82.7516","654.93","-440.576","1143.53","503.478","-305.775","1084.72","659.965","346.879","161.853","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
228,0,"533.712","149.785","461.949","545.555","-529.927","1382.64","586.759","-224.319","455.637","704.638","-163.326","82.6184","654.205","-438.31","1144.22","503.119","-303.153","1085.32","662.266","350.119","162.379","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
229,0,"533.832","151.286","460.442","545.236","-526.347","1383.82","587.163","-223.479","455.728","704.714","-163.264","82.4778","653.436","-435.837","1144.94","502.712","-300.352","1085.97","663.066","352.255","161.412","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
230,0,"534.45","155.239","460.019","544.873","-522.512","1385.07","587.565","-222.679","455.805","704.793","-163.195","82.3543","652.687","-433.267","1145.73","502.359","-297.469","1086.6","664.861","354.95","161.363","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
231,0,"535.312","159.779","460.838","544.495","-518.504","1386.42","588.009","-221.754","455.843","704.866","-163.133","82.2261","651.914","-430.526","1146.56","502.05","-294.46","1087.27","666.464","357.894","161.195","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
232,0,"535.77","163.398","460.512","544.067","-514.266","1387.81","588.334","-220.784","455.921","704.946","-163.08","82.0997","651.203","-427.669","1147.48","501.783","-291.34","1087.94","667.679","360.433","160.615","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
233,0,"536.197","167.417","460.452","543.565","-509.813","1389.29","588.659","-219.757","455.99","705.005","-162.999","81.9944","650.505","-424.651","1148.48","501.514","-288.06","1088.63","669.032","363.029","160.082","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
234,0,"537.124","170.782","459.878","543.108","-505.229","1390.88","588.944","-218.643","455.952","705.068","-162.889","81.8786","649.884","-421.518","1149.58","501.352","-284.734","1089.36","670.239","365.561","159.535","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
235,0,"537.166","174.796","459.204","542.582","-500.335","1392.5","589.646","-216.915","455.534","705.116","-162.761","81.764","649.318","-418.228","1150.78","501.235","-281.252","1090.1","671.294","368.079","158.81","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
236,0,"537.442","178.687","458.997","542.107","-495.322","1394.28","590.063","-215.882","455.578","705.165","-162.615","81.6296","648.828","-414.801","1152.08","501.177","-277.664","1090.86","672.197","370.499","158.014","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
237,0,"537.781","182.381","458.469","541.631","-490.041","1396.11","590.585","-214.804","455.679","705.211","-162.464","81.5011","648.441","-411.199","1153.51","501.253","-274.015","1091.65","672.996","372.893","157.083","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
238,0,"538.17","185.999","457.757","541.18","-484.527","1398.01","591.011","-214.121","456.175","705.269","-162.285","81.387","648.201","-407.419","1155.09","501.312","-270.266","1092.42","673.682","375.252","156.084","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
239,0,"538.44","189.614","457.131","540.78","-478.793","1400","591.382","-213.002","456.298","705.332","-162.098","81.2617","648.091","-403.475","1156.78","501.369","-266.425","1093.23","674.275","377.618","154.961","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
240,0,"538.579","193.036","456.532","540.439","-472.853","1402.05","591.822","-211.707","456.379","705.404","-161.888","81.1409","648.07","-399.39","1158.51","501.483","-262.479","1094.05","674.782","379.955","153.786","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
241,0,"538.584","196.34","455.95","540.169","-466.677","1404.17","592.265","-210.431","456.489","705.463","-161.661","81.0028","648.168","-395.059","1160.27","501.602","-258.436","1094.91","675.222","382.317","152.511","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
242,0,"538.617","199.634","455.201","539.99","-460.301","1406.36","592.76","-209.158","456.559","705.519","-161.442","80.8316","648.317","-390.537","1162.08","501.732","-254.203","1095.75","675.537","384.643","151.129","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
243,0,"538.503","203.067","454.44","539.853","-453.652","1408.61","593.263","-207.837","456.64","705.578","-161.234","80.6477","648.581","-385.782","1163.93","501.969","-249.903","1096.64","675.774","386.994","149.627","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
244,0,"538.399","206.449","453.392","539.798","-446.768","1410.95","593.805","-206.516","456.733","705.647","-161.048","80.4564","648.868","-380.771","1165.84","502.201","-245.35","1097.5","675.889","389.266","148.09","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
245,0,"538.249","209.685","452.226","539.827","-439.626","1413.38","594.344","-205.135","456.755","705.732","-160.848","80.23","649.229","-375.562","1167.81","502.471","-240.695","1098.4","676.008","391.515","146.434","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
246,0,"537.952","212.878","451.023","539.887","-432.137","1415.85","594.898","-203.656","456.75","705.804","-160.621","79.9893","649.639","-370.077","1169.78","502.679","-235.841","1099.36","676.053","393.726","144.684","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
247,0,"537.554","216.101","449.716","540.023","-424.415","1418.42","595.466","-202.185","456.718","705.863","-160.371","79.7629","650.105","-364.341","1171.8","502.882","-230.807","1100.35","676.095","395.85","142.831","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
248,0,"537.153","219.152","448.251","540.237","-416.404","1421.11","596.117","-200.909","456.768","705.897","-160.081","79.5361","650.602","-358.382","1173.89","503.113","-225.607","1101.41","676.042","397.933","140.918","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
249,0,"536.706","222.084","446.521","540.473","-408.085","1423.87","596.993","-200.509","457.175","705.934","-159.806","79.3012","651.137","-352.224","1176.06","503.345","-220.231","1102.55","675.82","399.924","138.783","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
250,0,"536.264","224.947","444.756","540.745","-399.459","1426.72","597.195","-198.708","456.864","705.959","-159.557","79.09","651.663","-345.827","1178.28","503.573","-214.631","1103.7","675.527","401.89","136.563","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
251,0,"535.766","227.693","442.815","541.036","-390.526","1429.62","597.579","-197.016","456.936","705.977","-159.335","78.9056","652.198","-339.161","1180.53","503.799","-208.864","1104.95","675.047","403.759","134.176","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
252,0,"535.254","230.325","440.747","541.39","-381.316","1432.55","597.692","-194.582","456.654","705.986","-159.129","78.7606","652.765","-332.237","1182.85","503.964","-202.873","1106.27","674.663","405.651","131.725","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
253,0,"534.585","232.844","438.648","541.751","-371.778","1435.55","598.189","-192.963","457.016","705.982","-158.911","78.6177","653.312","-325.1","1185.27","504.133","-196.713","1107.66","674.425","407.446","129.271","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
254,0,"533.924","235.161","436.315","542.181","-361.967","1438.59","598.452","-191.166","457.134","705.981","-158.704","78.4977","653.876","-317.703","1187.79","504.293","-190.323","1109.18","674.127","409.159","126.826","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
255,0,"533.082","237.383","434.015","542.639","-351.848","1441.69","598.719","-189.267","457.24","705.983","-158.493","78.3625","654.436","-310.084","1190.41","504.476","-183.724","1110.75","673.89","411.066","124.133","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
256,0,"531.928","239.338","431.632","543.122","-341.418","1444.86","599.025","-187.243","457.31","705.992","-158.275","78.2178","655.047","-302.159","1193.12","504.67","-176.912","1112.44","674.664","413.063","121.31","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
257,0,"530.698","241.206","429.018","543.669","-330.676","1448.1","599.361","-185.144","457.335","705.99","-158.042","78.0547","655.74","-293.976","1195.94","504.871","-169.848","1114.19","676.55","414.896","118.882","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
258,0,"529.253","243.164","426.4","544.291","-319.625","1451.46","599.69","-183.027","457.356","705.991","-157.813","77.9262","656.432","-285.493","1198.88","505.064","-162.558","1116.07","678.876","416.435","116.856","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
259,0,"527.441","245.785","424.608","544.952","-308.285","1454.9","600.031","-180.891","457.408","706.008","-157.585","77.8297","657.129","-276.792","1202.04","505.241","-155.041","1118.09","680.999","417.838","114.891","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
260,0,"523.753","248.855","423.641","545.709","-296.653","1458.44","600.383","-178.654","457.511","706.046","-157.349","77.7681","657.994","-267.997","1205.53","505.403","-147.298","1120.25","682.778","419.073","112.922","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
261,0,"521.978","251.341","421.465","546.561","-284.833","1462.24","601.781","-176.907","458.111","706.087","-157.101","77.7265","658.777","-258.88","1209.07","505.514","-139.295","1122.53","683.949","420.121","110.779","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
262,0,"520.4","253.764","419.308","547.449","-272.605","1465.89","601.419","-174.339","457.779","706.126","-156.83","77.7112","659.578","-249.593","1212.64","505.598","-131.063","1124.97","684.545","421.103","108.629","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
263,0,"518.787","256.175","417.351","548.293","-260.248","1469.61","601.06","-171.492","457.717","706.145","-156.549","77.733","660.324","-240.193","1216.37","505.659","-122.648","1127.55","684.799","421.943","106.355","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
264,0,"517.367","258.353","414.477","549.226","-247.592","1473.34","601.303","-169.155","457.869","706.166","-156.268","77.7846","661.149","-230.698","1220.26","505.687","-114","1130.25","685.204","422.618","104.277","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
265,0,"516.235","260.872","412.427","550.294","-234.681","1477.17","601.297","-166.647","457.969","706.188","-155.992","77.868","661.809","-221.249","1224.63","505.676","-105.168","1133.08","685.87","423.087","102.348","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
266,0,"514.247","263.688","410.988","551.41","-221.541","1481.04","601.187","-164.077","458.049","706.194","-155.723","77.98","662.301","-211.49","1228.99","505.656","-96.1195","1136.03","686.447","423.481","100.577","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
267,0,"512.182","266.563","409.857","552.567","-208.198","1484.97","601.077","-161.536","458.128","706.199","-155.443","78.0941","662.615","-201.613","1233.57","505.61","-86.9015","1139.09","686.917","423.657","98.8985","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
268,0,"510.459","269.629","408.612","553.761","-194.661","1488.9","600.775","-158.823","458.126","706.194","-155.186","78.2139","662.793","-191.503","1238.36","505.512","-77.535","1142.27","687.495","423.722","97.2138","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
269,0,"508.878","272.933","407.371","554.968","-180.997","1492.82","600.497","-156.248","458.126","706.184","-154.923","78.3674","662.901","-181.216","1243.5","505.367","-68.0164","1145.56","687.967","423.746","95.6367","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
270,0,"507.445","276.398","406.176","556.156","-167.226","1496.75","599.926","-153.445","457.991","706.143","-154.666","78.5242","662.914","-170.795","1248.83","505.192","-58.3749","1148.95","688.372","423.978","94.1399","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
271,0,"506.052","279.913","405.081","557.353","-153.354","1500.62","599.369","-150.69","457.984","706.103","-154.416","78.7395","662.835","-160.291","1254.28","504.978","-48.6324","1152.42","688.816","424.497","92.6592","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
272,0,"504.642","283.318","404.227","558.628","-139.377","1504.33","599.18","-148.214","457.983","706.058","-154.178","79.0089","662.797","-149.703","1259.84","504.76","-38.7547","1155.97","689.214","425.06","91.3175","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
273,0,"503.393","287.185","402.708","559.715","-125.487","1508.25","597.894","-145.102","457.73","706.005","-153.912","79.2795","662.707","-139.079","1265.52","504.484","-28.7487","1159.6","689.59","425.869","89.8563","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
274,0,"501.807","290.249","402.54","560.714","-111.4","1511.83","596.87","-142.118","457.533","705.931","-153.689","79.58","662.453","-128.332","1271.26","504.227","-18.6587","1163.3","690.016","426.846","88.4891","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
275,0,"500.241","293.85","401.654","562.04","-97.6661","1515.49","595.727","-139.237","457.287","705.853","-153.484","79.9031","661.969","-117.519","1276.96","503.927","-8.48692","1167.05","690.421","427.756","87.3934","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
276,0,"498.499","297.323","400.811","563.219","-83.8264","1518.95","594.421","-136.253","457.025","705.757","-153.309","80.3329","661.369","-106.678","1282.61","503.638","1.73834","1170.84","690.637","428.345","86.6816","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
277,0,"496.352","300.695","400.312","564.263","-70.0875","1522.45","592.971","-133.264","456.725","705.635","-153.183","80.8444","660.79","-95.7378","1288.44","503.331","11.9826","1174.6","690.697","428.726","86.3039","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
278,0,"493.814","303.805","400.11","565.725","-56.4598","1525.6","591.355","-130.375","456.486","705.47","-153.058","81.4096","660.054","-84.638","1294.36","503.035","22.2618","1178.32","690.417","428.951","86.1809","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
279,0,"491.082","306.797","400.173","567.036","-42.9617","1528.8","589.557","-127.426","456.225","705.255","-152.938","82.0342","658.939","-73.5126","1299.83","502.736","32.55","1182.02","689.873","429.109","86.1195","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
